age,height_cm,weight_lbs,reach_inches,age_in_prime,age_past_prime,stance_orthodox,stance_southpaw,stance_switch,sig_strikes_landed_per_min,striking_accuracy,striking_defense,striking_differential,defensive_efficiency,striking_volume_control,distance_accuracy_last_3,clinch_accuracy_last_3,ground_output_per_min_last_3,leg_strike_rate_last_3,knockdowns_last_3,striking_accuracy_last_3,sig_strikes_landed_per_min_last_3,head_strike_rate_last_3,body_strike_rate_last_3,ground_strike_rate_last_3,distance_strike_rate_last_3,distance_accuracy_lifetime,clinch_accuracy_lifetime,ground_output_per_min_lifetime,leg_strike_rate_lifetime,knockdowns_lifetime,head_strike_rate_lifetime,body_strike_rate_lifetime,ground_strike_rate_lifetime,distance_strike_rate_lifetime,sig_strikes_landed_per_min_lifetime,striking_accuracy_lifetime,takedown_avg_per_15min,takedown_accuracy,takedown_defense,submission_avg_per_15min,total_fights,wins,losses,draws,has_fight_history,finish_rate,ko_rate,submission_rate,decision_rate,title_fight_experience,avg_fight_duration_rounds,first_round_finish_rate,first_round_ko_rate,early_finish_rate_last_3,early_finish_rate_last_5,round_3_fight_rate,round_3_win_rate,round_3_finish_rate,round_3_performance_score,win_rate_last_3,finish_rate_last_3,ko_rate_last_3,win_rate_last_5,finish_rate_last_5,ko_rate_last_5,performance_trend,athleticism_decline,current_win_streak,current_loss_streak,fights_in_last_year,activity_rate,days_since_last_fight,days_between_last_2_fights,long_layoff_over_1yr,long_layoff_over_2yr,fights_since_last_win,years_since_last_win,has_ever_won,losses_since_last_win,decision_losses_since_last_win,finish_losses_since_last_win,recent_vs_career_win_rate,win_rate_last_3_years,wins_last_3_years,losses_last_3_years,finish_rate_last_3_years,recent_losses_last_2,recent_finish_losses_last_2,recent_finish_loss_last_fight,recent_finish_loss_ratio_last_2,time_decayed_win_rate,time_decayed_finish_rate,time_decayed_ko_rate,avg_opponent_win_rate,avg_beaten_opponent_win_rate,avg_lost_to_opponent_win_rate,avg_opponent_total_fights,avg_beaten_opponent_total_fights,opponent_quality_score,age_x_years_since_last_win,age_x_fights_since_last_win,age_x_recent_vs_career_decline,age_x_days_since_last_fight,age_x_years_since_last_fight,age_x_fights_in_last_year,youth_form_score,recent_sig_strike_diff_last_3,recent_knockdown_diff_last_3,recent_control_time_sec_last_3,recent_control_time_diff_last_3,fighter_id,fighter_name
47.0,0.0,155.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Tom Aaron
42.0,180.3,155.0,0.0,0.0,1.0,1.0,0.0,0.0,29.5,0.38,0.57,25.09,0.12925170068027209,6.6893424036281175,0.2680327868852459,0.55,0.1,0.0,0.0,0.35844748858447484,2.1666666666666665,0.7708333333333333,0.22916666666666666,0.026785714285714284,0.5327380952380952,0.2680327868852459,0.55,0.1,0.0,0.0,0.7708333333333333,0.22916666666666666,0.026785714285714284,0.5327380952380952,2.1666666666666665,0.35844748858447484,0.0,0.0,0.77,0.0,2.0,0.0,2.0,0.0,1.0,0.5,0.0,0.5,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,7018.0,91.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5847701149425287,0.0,0.0,26.5,0.0,0.0,0.0,84.0,0.0,294756.0,806.9979466119097,84.0,0.0,-10.0,0.0,55.0,-57.0,2,Danny Abbadi
31.0,172.7,155.0,66.0,1.0,0.0,1.0,0.0,0.0,3.0,0.2,0.46,-2.67,0.08112874779541446,0.5291005291005291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,32.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Nariman Abbasov
32.0,188.0,265.0,80.0,1.0,0.0,1.0,0.0,0.0,8.44,0.5,0.28,-5.620000000000001,0.01991465149359886,0.6002844950213371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Darion Abbey
60.0,182.9,265.0,0.0,0.0,1.0,0.0,0.0,1.0,7.866666666666666,0.3,0.38,4.316666666666666,0.10704225352112677,2.215962441314554,0.14814814814814814,0.1372549019607843,0.06666666666666667,0.0,0.0,0.2076923076923077,0.8000000000000002,0.6666666666666666,0.0,0.3333333333333333,0.12121212121212122,0.29384960263907633,0.3236029765441531,0.4333333333333333,0.0,2.0,0.8384920634920635,0.09484126984126985,0.343498445998446,0.28202528952528955,1.346666666666667,0.4625045756478394,1.07,0.33,0.66,0.0,15.0,6.0,9.0,0.0,1.0,0.8,0.4,0.4,0.2,0.0,1.1333333333333333,0.8333333333333334,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,1.0,1.0,-0.2,0.0,0.0,1.0,4.0,4.0,8055.0,168.0,1.0,1.0,4.0,27.572895277207394,1.0,4.0,0.0,4.0,-0.2,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.18814978051870357,0.7927399494700446,0.5371094764295856,0.5464316420174709,0.42332167249708474,0.6285049550310614,27.466666666666665,12.5,-0.20518328253397666,1654.3737166324436,240.0,12.0,483300.0,1323.2032854209447,240.0,0.0,-0.6666666666666666,-0.3333333333333333,41.0,1.3333333333333333,5,David Abbott
32.0,188.0,265.0,72.0,1.0,0.0,0.0,1.0,0.0,64.0,0.55,0.51,60.33,0.13896457765667578,17.438692098092645,0.5269938773461809,0.30952380952380953,1.6444444444444446,0.197979797979798,0.0,0.5550439379362785,4.3999999999999995,0.6917508417508418,0.11026936026936028,0.265993265993266,0.6902356902356902,0.496596759360987,0.39880952380952384,1.6666666666666667,0.1571055381400209,1.0,0.7386407175200279,0.10425374433995124,0.3115639150121909,0.6469871125043538,4.266666666666667,0.5481011352703906,3.25,0.65,1.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.45,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,0.16666666666666663,0.0,0.0,1.0,4.0,4.0,46.0,126.0,0.0,0.0,0.0,0.12594113620807665,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5848934348860226,0.0,0.0,0.7114898989898991,0.6922348484848485,0.5,21.666666666666668,24.5,0.0768939393939394,4.030116358658453,0.0,0.0,1472.0,4.030116358658453,128.0,0.0,8.333333333333334,0.0,235.66666666666666,235.66666666666666,6,Hamdy Abdelwahab
28.0,188.0,185.0,80.0,1.0,0.0,1.0,0.0,0.0,27.666666666666668,0.48,0.51,24.17666666666667,0.1461318051575931,7.927411652340019,0.33888888888888885,0.543859649122807,1.988888888888889,0.06666666666666667,1.0,0.4827100804806956,3.4555555555555557,0.8588505747126437,0.07448275862068966,0.47264367816091957,0.36643678160919535,0.33888888888888885,0.543859649122807,1.988888888888889,0.06666666666666667,1.0,0.8588505747126437,0.07448275862068966,0.47264367816091957,0.36643678160919535,3.4555555555555557,0.4827100804806956,0.49,0.33,0.82,0.0,3.0,2.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,2.0,0.5,0.5,1.0,1.0,0.3333333333333333,0.0,0.0,0.06666666666666667,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,3.0,3.0,179.0,112.0,0.0,0.0,1.0,0.7967145790554415,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6362127203231911,1.0,1.0,0.6432748538011696,0.6754385964912281,0.0,15.666666666666666,14.0,0.27017543859649124,22.308008213552363,28.0,0.0,5012.0,13.722108145106091,84.0,1.3333333333333333,7.333333333333333,0.3333333333333333,43.0,-18.666666666666668,7,Mansur Abdul-Malik
44.0,190.5,235.0,76.0,0.0,1.0,1.0,0.0,0.0,22.818181818181817,0.44,0.55,19.798181818181817,0.1821192052980133,7.5556893437688135,0.6182795698924731,0.3333333333333333,0.0,0.23444160272804773,0.0,0.6216931216931217,1.9333333333333333,0.6001705029838021,0.16538789428815004,0.0,0.9855072463768115,0.4488069225884963,0.3838698718133308,0.12575757575757576,0.200008480201595,2.0,0.6382074081021595,0.16178411169624543,0.07494254487219483,0.789509678564765,2.0772727272727276,0.4945238252027045,1.01,0.23,0.45,0.1,11.0,5.0,6.0,0.0,1.0,0.7272727272727273,0.7272727272727273,0.0,0.2727272727272727,0.0,2.1818181818181817,0.2,0.5,0.0,1.0,0.36363636363636365,0.75,0.0,0.44772727272727275,0.0,1.0,0.0,0.2,1.0,1.0,-0.2,0.0,0.0,1.0,4.0,4.0,1054.0,308.0,1.0,1.0,4.0,6.6420260095824775,1.0,4.0,0.0,4.0,-0.2545454545454545,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.26114850248946203,0.4951347137260641,0.4951347137260641,0.8461538461538461,0.0,0.0,26.0,0.0,0.0,292.249144421629,176.0,11.2,46376.0,126.97056810403832,176.0,0.0,-21.0,-1.0,0.0,-169.33333333333334,8,Shamil Abdurakhimov
55.0,167.6,145.0,0.0,0.0,1.0,1.0,0.0,0.0,1.71,0.36,0.63,-1.4,0.20257234726688103,0.54983922829582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,26.0,8.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Hiroyuki Abe
34.0,180.3,170.0,71.0,0.0,0.0,1.0,0.0,0.0,57.0,0.33,0.56,52.51,0.12472160356347439,12.694877505567929,0.31073635548846645,0.3904761904761904,0.3111111111111111,0.3439153439153439,1.0,0.3349637133071128,3.8000000000000003,0.5904761904761905,0.0656084656084656,0.07407407407407407,0.8677248677248678,0.31073635548846645,0.3904761904761904,0.3111111111111111,0.3439153439153439,1.0,0.5904761904761905,0.0656084656084656,0.07407407407407407,0.8677248677248678,3.8000000000000003,0.3349637133071128,0.33,0.5,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.3666666666666667,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2727.0,133.0,1.0,1.0,2.0,8.216290212183436,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.29628130660750995,0.0,0.0,0.6732804232804233,0.6190476190476191,0.23346560846560843,22.333333333333332,21.0,0.07711640211640214,279.3538672142368,68.0,0.0,92718.0,253.8480492813142,102.0,0.0,-10.333333333333334,0.3333333333333333,7.333333333333333,3.0,10,Daichi Abe
