event_slug,event_label,fighter,opponent,opening_american,closing_american
ufc-322-3830,UFC 322 Nov 16th 2025,Islam Makhachev,Jack Della Maddalena,-385,-282
ufc-3570,UFC Jan 19th 2025,Islam Makhachev,Renato Moicano,-600,-835
ufc-3269,UFC Jun 2nd 2024,Islam Makhachev,Dustin Poirier,-400,-400
ufc-294-2908,UFC 294 Oct 21st 2023,Islam Makhachev,Alexander Volkanovski,-290,-230
ufc-284-makhachev-vs-volkanovski-2710,UFC 284: Makhachev vs. Volkanovski Feb 12th 2023,Islam Makhachev,Alex Volkanovski,-490,-335
ufc-281-2586,UFC 281 Oct 22nd 2022,Islam Makhachev,Charles Oliveira,-300,-166
ufc-fight-night-203-2343,UFC Fight Night 203 Feb 26th 2022,Islam Makhachev,Bobby Green,-450,-760
ufc-267-brachowicz-vs-teixeira-2217,UFC 267: Brachowicz vs. Teixeira Oct 30th 2021,Islam Makhachev,Daniel Hooker,-300,-440
ufc-on-espn-makhachev-vs-moises-2139,UFC on ESPN: Makhachev vs. Moises Jul 17th 2021,Islam Makhachev,Thiago Moises,-500,-700
ufc-259-blachowicz-vs-adesanya-2038,UFC 259: Blachowicz vs. Adesanya Mar 6th 2021,Islam Makhachev,Drew Dober,-400,-400
ufc-242-khabib-vs-poirier-1715,UFC 242: Khabib vs. Poirier Sep 7th 2019,Islam Makhachev,Davi Ramos,-405,-380
ufc-on-espn-7-overeem-vs-oleinik-1673,UFC on ESPN+ 7: Overeem vs. Oleinik Apr 20th 2019,Islam Makhachev,Arman Tsarukyan,-475,-320
ufc-on-fox-30-alvarez-vs-poirier-2-1502,UFC on FOX 30: Alvarez vs. Poirier 2 Jul 28th 2018,Islam Makhachev,Kajan Johnson,-420,-570
ufc-220-miocic-vs-ngannou-1406,UFC 220: Miocic vs. Ngannou Jan 20th 2018,Islam Makhachev,Gleison Tibau,-270,-290
ufc-208-holm-vs-de-randamie-1229,UFC 208: Holm vs. de Randamie Feb 11th 2017,Islam Makhachev,Nik Lentz,-160,-330
ufc-fight-night-94-johnson-vs-poirier-1160,UFC Fight Night 94: Johnson vs. Poirier Sep 17th 2016,Islam Makhachev,Chris Wade,-120,-130
ufc-192-cormier-vs-gustafsson-990,UFC 192: Cormier vs. Gustafsson Oct 3rd 2015,Islam Makhachev,Adriano Martins,-120,-125
ufc-187-johnson-vs-cormier-945,UFC 187: Johnson vs. Cormier May 23rd 2015,Islam Makhachev,Leo Kuntz,-300,-475
