event_slug,event_label,fighter,opponent,opening_american,closing_american
ufc-3895,UFC Dec 7th 2025,Jalin Turner,Jalin Turner,-250,-400
ufc-3612,UFC Mar 9th 2025,Jalin Turner,Jalin Turner,-120,+125
ufc-3159,UFC Apr 13th 2024,Jalin Turner,Jalin Turner,-130,-225
ufc-3057,UFC Dec 3rd 2023,Jalin Turner,Jalin Turner,-218,-160
ufc-2921,UFC Jul 9th 2023,Jalin Turner,Jalin Turner,-200,-300
ufc-285-2738,UFC 285 Mar 4th 2023,Jalin Turner,Jalin Turner,+205,+180
ufc-276-adesanya-vs-cannonier-2478,UFC 276: Adesanya vs. Cannonier Jul 2nd 2022,Jalin Turner,Jalin Turner,-175,-150
ufc-fight-night-204-2380,UFC Fight Night 204 Mar 5th 2022,Jalin Turner,Jalin Turner,-150,-150
ufc-266-volkanovski-vs-ortega-2177,UFC 266: Volkanovski vs. Ortega Sep 25th 2021,Jalin Turner,Jalin Turner,+160,+108
ufc-on-espn-35-waterson-vs-hill-1945,UFC on ESPN+ 35: Waterson vs. Hill Sep 12th 2020,Jalin Turner,Jalin Turner,-450,-440
ufc-on-espn-26-felder-vs-hooker-1846,UFC on ESPN+ 26: Felder vs. Hooker Feb 22nd 2020,Jalin Turner,Jalin Turner,-140,-235
ufc-236-holloway-vs-poirier-2-1666,UFC 236: Holloway vs. Poirier 2 Apr 13th 2019,Jalin Turner,Jalin Turner,-165,-147
ufc-234-adesanya-vs-silva-1620,UFC 234: Adesanya vs. Silva Feb 9th 2019,Jalin Turner,Jalin Turner,-300,-212
ufc-229-nurmagomedov-vs-mcgregor-1566,UFC 229: Nurmagomedov vs. McGregor Oct 6th 2018,Jalin Turner,Jalin Turner,+240,+550
dana-white-s-contender-series-12-1518,Dana White's Contender Series 12 Jul 10th 2018,Jalin Turner,Jalin Turner,-280,-440
bellator-192-rampage-vs-sonnen-1382,Bellator 192: Rampage vs. Sonnen Jan 20th 2018,Jalin Turner,Jalin Turner,,
bellator-170-ortiz-vs-sonnen-1215,Bellator 170: Ortiz vs. Sonnen Jan 21st 2017,Jalin Turner,,,
