f1,f2,fav_name,dog_name,fav_odd,fav_won,fav_edge,fav_profit_per_share_if_win,fav_profit_per_1000_if_win,gross_ret_fav,p_f1_model,p_f2_model,model_prob_fav,model_prob_dog,model_pick_is_f1,model_agrees_fav,model_pick_prob,model_wins,gross_ret_model
Sumudaerji,Jesus Aguilar,Sumudaerji,Jesus Aguilar,0.66,True,0.515151515151515,0.515151515151515,515.151515151515,1515.151515151515,0.5871,0.4129,0.5871,0.4129,True,True,0.5871,True,1515.151515151515
Rodolfo Bellato,Luke Fernandez,Luke Fernandez,Rodolfo Bellato,0.675,False,0.4814814814814814,0.4814814814814814,481.4814814814814,0.0,0.509,0.491,0.491,0.509,True,False,0.509,True,3076.923076923077
Ricky Turcios,Alberto Montes,Alberto Montes,Ricky Turcios,0.575,True,0.7391304347826089,0.7391304347826089,739.1304347826089,1739.1304347826087,0.4669,0.5331,0.5331,0.4669,False,True,0.5331,True,1739.1304347826087
Diyar Nurgozhay,Rafael Tobias,Diyar Nurgozhay,Rafael Tobias,0.525,True,0.9047619047619047,0.9047619047619047,904.7619047619047,1904.7619047619046,0.4004,0.5996,0.4004,0.5996,False,False,0.5996,False,0.0
Charles Oliveira,Max Holloway,Max Holloway,Charles Oliveira,0.56,False,0.7857142857142856,0.7857142857142856,785.7142857142856,0.0,0.4011,0.5989,0.5989,0.4011,False,True,0.5989,False,0.0
Cody Durden,Nyamjargal Tumendemberel,Nyamjargal Tumendemberel,Cody Durden,0.505,True,0.9801980198019802,0.9801980198019802,980.1980198019802,1980.19801980198,0.3047,0.6953,0.6953,0.3047,False,True,0.6953,True,1980.19801980198
Gregory Rodrigues,Brunno Ferreira,Gregory Rodrigues,Brunno Ferreira,0.7,True,0.42857142857142866,0.42857142857142866,428.57142857142867,1428.5714285714287,0.6,0.4,0.6,0.4,True,True,0.6,True,1428.5714285714287
Rob Font,Raul Rosas Jr.,Raul Rosas Jr.,Rob Font,0.775,True,0.29032258064516125,0.29032258064516125,290.3225806451613,1290.3225806451612,0.3923,0.6077,0.6077,0.3923,False,True,0.6077,True,1290.3225806451612
Cody Garbrandt,Xiao Long,Xiao Long,Cody Garbrandt,0.695,False,0.43884892086330946,0.43884892086330946,438.84892086330944,0.0,0.3427,0.6573,0.6573,0.3427,False,True,0.6573,False,0.0
Reinier de Ridder,Caio Borralho,Caio Borralho,Reinier de Ridder,0.58,True,0.7241379310344829,0.7241379310344829,724.1379310344829,1724.1379310344828,0.5237,0.4763,0.4763,0.5237,True,False,0.5237,False,0.0
Cody Brundage,Donte Johnson,Donte Johnson,Cody Brundage,0.855,True,0.16959064327485382,0.16959064327485382,169.59064327485382,1169.5906432748538,0.2888,0.7112,0.7112,0.2888,False,True,0.7112,True,1169.5906432748538
Douglas Silva de Andrade,Javier Reyes,Javier Reyes,Douglas Silva de Andrade,0.525,True,0.9047619047619047,0.9047619047619047,904.7619047619047,1904.7619047619046,0.3247,0.6753,0.6753,0.3247,False,True,0.6753,True,1904.7619047619046
Wes Schultz,Damian Pinas,Damian Pinas,Wes Schultz,0.535,True,0.8691588785046728,0.8691588785046728,869.1588785046728,1869.1588785046729,0.3943,0.6057,0.6057,0.3943,False,True,0.6057,True,1869.1588785046729
Francis Marshall,Erik Silva,Francis Marshall,Erik Silva,0.65,True,0.5384615384615384,0.5384615384615384,538.4615384615385,1538.4615384615383,0.8886,0.1114,0.8886,0.1114,True,True,0.8886,True,1538.4615384615383
Macy Chiasson,Ailin Perez,Ailin Perez,Macy Chiasson,0.76,True,0.3157894736842105,0.3157894736842105,315.7894736842105,1315.7894736842104,0.2955,0.7045,0.7045,0.2955,False,True,0.7045,True,1315.7894736842104
