event_name,event_date,event_url,fighter1,fighter2,fighter1_odds,fighter2_odds,fighter1_prob,fighter2_prob
UFC,February 22nd,https://www.bestfightodds.com/events/ufc-3996,Geoff Neal,Uros Medic,-220,170,0.6875,0.3704
UFC,February 22nd,https://www.bestfightodds.com/events/ufc-3996,Anthony Hernandez,Sean Strickland,-275,220,0.7333,0.3125
UFC,February 22nd,https://www.bestfightodds.com/events/ufc-3996,Dan Ige,Melquizael Costa,198,-240,0.3356,0.7059
UFC,February 22nd,https://www.bestfightodds.com/events/ufc-3996,Ante Delija,Serghei Spivac,-125,105,0.5556,0.4878
UFC,February 22nd,https://www.bestfightodds.com/events/ufc-3996,Jacobe Smith,Josiah Harrell,-320,250,0.7619,0.2857
UFC,February 22nd,https://www.bestfightodds.com/events/ufc-3996,Michel Pereira,Zach Reese,-170,143,0.6296,0.4115
UFC,February 22nd,https://www.bestfightodds.com/events/ufc-3996,Carlos Leal Miranda,Chidi Njokuani,-138,110,0.5798,0.4762
UFC,February 22nd,https://www.bestfightodds.com/events/ufc-3996,Alibi Idiris,Ode Osbourne,-138,110,0.5798,0.4762
UFC,February 22nd,https://www.bestfightodds.com/events/ufc-3996,Alden Coria,Luis Gurule,-420,320,0.8077,0.2381
UFC Mexico,March 1st,https://www.bestfightodds.com/events/ufc-mexico-4052,Brandon Moreno,Loneer Kavanagh,-205,170,0.6721,0.3704
UFC Mexico,March 1st,https://www.bestfightodds.com/events/ufc-mexico-4052,David Martinez,Marlon Vera,-335,250,0.7701,0.2857
UFC Mexico,March 1st,https://www.bestfightodds.com/events/ufc-mexico-4052,Daniel Zellhuber,King Green,-400,300,0.8,0.25
UFC Mexico,March 1st,https://www.bestfightodds.com/events/ufc-mexico-4052,Bobby Green,Daniel Zellhuber,320,-420,0.2381,0.8077
UFC Mexico,March 1st,https://www.bestfightodds.com/events/ufc-mexico-4052,Edgar Chairez,Felipe Bunes,-335,250,0.7701,0.2857
UFC Mexico,March 1st,https://www.bestfightodds.com/events/ufc-mexico-4052,Imanol Rodriguez,Kevin Borjas,-455,340,0.8198,0.2273
UFC Mexico,March 1st,https://www.bestfightodds.com/events/ufc-mexico-4052,Angel Pacheco,Santiago Luna,525,-770,0.16,0.8851
UFC Mexico,March 1st,https://www.bestfightodds.com/events/ufc-mexico-4052,Jose Medina,Ryan Gandra,500,-715,0.1667,0.8773
UFC Mexico,March 1st,https://www.bestfightodds.com/events/ufc-mexico-4052,Ailin Perez,Macy Chiasson,-186,150,0.6503,0.4
UFC Mexico,March 1st,https://www.bestfightodds.com/events/ufc-mexico-4052,Cristian Quinonez,Kris Moutinho,-649,450,0.8665,0.1818
UFC Vegas 113,February 8th,https://www.bestfightodds.com/events/ufc-vegas-113-4033,Mario Bautista,Vinicius Oliveira,-148,118,0.5968,0.4587
UFC Vegas 113,February 8th,https://www.bestfightodds.com/events/ufc-vegas-113-4033,Amir Albazi,Kyoji Horiguchi,285,-375,0.2597,0.7895
UFC Vegas 113,February 8th,https://www.bestfightodds.com/events/ufc-vegas-113-4033,Jailton Almeida,Rizvan Kuniev,-177,140,0.639,0.4167
UFC Vegas 113,February 8th,https://www.bestfightodds.com/events/ufc-vegas-113-4033,Marc-Andre Barriault,Michal Oleksiejczluk,370,-500,0.2128,0.8333
UFC Vegas 113,February 8th,https://www.bestfightodds.com/events/ufc-vegas-113-4033,Farid Basharat,Jean Matsumoto,-305,235,0.7531,0.2985
