event_name,event_url,fighter1,fighter2,winner,method,round,fight_key
UFC Fight Night: Moreno vs. Kavanagh,http://ufcstats.com/event-details/0cfbbfa0ba6d9855,Lone'er Kavanagh,Brandon Moreno,Lone'er Kavanagh,U-DEC,5,brandon moreno_vs_lone'er kavanagh
UFC Fight Night: Moreno vs. Kavanagh,http://ufcstats.com/event-details/0cfbbfa0ba6d9855,David Martinez,Marlon Vera,David Martinez,U-DEC,3,david martinez_vs_marlon vera
UFC Fight Night: Moreno vs. Kavanagh,http://ufcstats.com/event-details/0cfbbfa0ba6d9855,King Green,Daniel Zellhuber,King Green,KO/TKO,2,daniel zellhuber_vs_king green
UFC Fight Night: Moreno vs. Kavanagh,http://ufcstats.com/event-details/0cfbbfa0ba6d9855,Edgar Chairez,Felipe Bunes,Edgar Chairez,S-DEC,3,edgar chairez_vs_felipe bunes
UFC Fight Night: Moreno vs. Kavanagh,http://ufcstats.com/event-details/0cfbbfa0ba6d9855,Imanol Rodriguez,Kevin Borjas,Imanol Rodriguez,KO/TKO,2,imanol rodriguez_vs_kevin borjas
UFC Fight Night: Moreno vs. Kavanagh,http://ufcstats.com/event-details/0cfbbfa0ba6d9855,Santiago Luna,Angel Pacheco,Santiago Luna,U-DEC,3,angel pacheco_vs_santiago luna
UFC Fight Night: Moreno vs. Kavanagh,http://ufcstats.com/event-details/0cfbbfa0ba6d9855,Ryan Gandra,Jose Daniel Medina,Ryan Gandra,KO/TKO,1,jose daniel medina_vs_ryan gandra
UFC Fight Night: Moreno vs. Kavanagh,http://ufcstats.com/event-details/0cfbbfa0ba6d9855,Ailin Perez,Macy Chiasson,Ailin Perez,U-DEC,3,ailin perez_vs_macy chiasson
UFC Fight Night: Moreno vs. Kavanagh,http://ufcstats.com/event-details/0cfbbfa0ba6d9855,Cristian Quinonez,Kris Moutinho,Cristian Quinonez,U-DEC,3,cristian quinonez_vs_kris moutinho
UFC Fight Night: Moreno vs. Kavanagh,http://ufcstats.com/event-details/0cfbbfa0ba6d9855,Javier Reyes,Douglas Silva de Andrade,Javier Reyes,KO/TKO,1,douglas silva de andrade_vs_javier reyes
UFC Fight Night: Moreno vs. Kavanagh,http://ufcstats.com/event-details/0cfbbfa0ba6d9855,Regina Tarin,Ernesta Kareckaite,Regina Tarin,U-DEC,3,ernesta kareckaite_vs_regina tarin
UFC Fight Night: Moreno vs. Kavanagh,http://ufcstats.com/event-details/0cfbbfa0ba6d9855,Francis Marshall,Erik Silva,Francis Marshall,SUB,1,erik silva_vs_francis marshall
UFC Fight Night: Moreno vs. Kavanagh,http://ufcstats.com/event-details/0cfbbfa0ba6d9855,Damian Pinas,Wes Schultz,Damian Pinas,KO/TKO,1,damian pinas_vs_wes schultz
UFC Fight Night: Strickland vs. Hernandez,http://ufcstats.com/event-details/79ab17db3b40831a,Sean Strickland,Anthony Hernandez,Sean Strickland,KO/TKO,3,anthony hernandez_vs_sean strickland
UFC Fight Night: Strickland vs. Hernandez,http://ufcstats.com/event-details/79ab17db3b40831a,Uros Medic,Geoff Neal,Uros Medic,KO/TKO,1,geoff neal_vs_uros medic
UFC Fight Night: Strickland vs. Hernandez,http://ufcstats.com/event-details/79ab17db3b40831a,Melquizael Costa,Dan Ige,Melquizael Costa,KO/TKO,1,dan ige_vs_melquizael costa
UFC Fight Night: Strickland vs. Hernandez,http://ufcstats.com/event-details/79ab17db3b40831a,Serghei Spivac,Ante Delija,Serghei Spivac,U-DEC,3,ante delija_vs_serghei spivac
UFC Fight Night: Strickland vs. Hernandez,http://ufcstats.com/event-details/79ab17db3b40831a,Jacobe Smith,Josiah Harrell,Jacobe Smith,KO/TKO,1,jacobe smith_vs_josiah harrell
UFC Fight Night: Strickland vs. Hernandez,http://ufcstats.com/event-details/79ab17db3b40831a,Michel Pereira,Zach Reese,Michel Pereira,S-DEC,3,michel pereira_vs_zach reese
UFC Fight Night: Strickland vs. Hernandez,http://ufcstats.com/event-details/79ab17db3b40831a,Carlos Leal,Chidi Njokuani,Carlos Leal,U-DEC,3,carlos leal_vs_chidi njokuani
UFC Fight Night: Strickland vs. Hernandez,http://ufcstats.com/event-details/79ab17db3b40831a,Alibi Idiris,Ode Osbourne,Alibi Idiris,U-DEC,3,alibi idiris_vs_ode osbourne
UFC Fight Night: Strickland vs. Hernandez,http://ufcstats.com/event-details/79ab17db3b40831a,Alden Coria,Luis Gurule,Alden Coria,U-DEC,3,alden coria_vs_luis gurule
UFC Fight Night: Strickland vs. Hernandez,http://ufcstats.com/event-details/79ab17db3b40831a,Joselyne Edwards,Nora Cornolle,Joselyne Edwards,SUB,2,joselyne edwards_vs_nora cornolle
UFC Fight Night: Strickland vs. Hernandez,http://ufcstats.com/event-details/79ab17db3b40831a,Punahele Soriano,Ramiz Brahimaj,Punahele Soriano,U-DEC,3,punahele soriano_vs_ramiz brahimaj
UFC Fight Night: Strickland vs. Hernandez,http://ufcstats.com/event-details/79ab17db3b40831a,Jean-Paul Lebosnoyani,Phil Rowe,Jean-Paul Lebosnoyani,S-DEC,3,jean-paul lebosnoyani_vs_phil rowe
UFC Fight Night: Strickland vs. Hernandez,http://ufcstats.com/event-details/79ab17db3b40831a,Jordan Leavitt,Yadier del Valle,Jordan Leavitt,U-DEC,3,jordan leavitt_vs_yadier del valle
UFC Fight Night: Strickland vs. Hernandez,http://ufcstats.com/event-details/79ab17db3b40831a,Carli Judice,Juliana Miller,Carli Judice,U-DEC,3,carli judice_vs_juliana miller
