event_name,event_date,event_url,fighter1,fighter2,fighter1_odds,fighter2_odds,fighter1_prob,fighter2_prob
UFC,January 25th,https://www.bestfightodds.com/events/ufc-3970,Justin Gaethje,Paddy Pimblett,200,-245,0.3333,0.7101
UFC,January 25th,https://www.bestfightodds.com/events/ufc-3970,Sean Omalley,Song Yadong,-225,185,0.6923,0.3509
UFC,January 25th,https://www.bestfightodds.com/events/ufc-3970,Derrick Lewis,Waldo Cortes-Acosta,250,-333,0.2857,0.7691
UFC,January 25th,https://www.bestfightodds.com/events/ufc-3970,Natalia Silva,Rose Namajunas,-330,250,0.7674,0.2857
UFC,January 25th,https://www.bestfightodds.com/events/ufc-3970,Arnold Allen,Jean Silva,184,-220,0.3521,0.6875
UFC,January 25th,https://www.bestfightodds.com/events/ufc-3970,Deiveson Figueiredo,Umar Nurmagomedov,870,-1600,0.1031,0.9412
UFC,January 25th,https://www.bestfightodds.com/events/ufc-3970,Andrey Pulyaev,Ateba Gautier,660,-1000,0.1316,0.9091
UFC,January 25th,https://www.bestfightodds.com/events/ufc-3970,Modestas Bukauskas,Nikita Krylov,-134,112,0.5726,0.4717
UFC,January 25th,https://www.bestfightodds.com/events/ufc-3970,Alex Perez,Charles Johson,154,-180,0.3937,0.6429
UFC,January 25th,https://www.bestfightodds.com/events/ufc-3970,Amanda Nunes,Kayla Harrison,170,-205,0.3704,0.6721
