event_name,event_date,fighter1,fighter2,fighter1_odds,fighter2_odds,fighter1_prob,fighter2_prob,scrape_timestamp
UFC Fight Night: Emmett vs Vallejos,2026-03-14,Piera Rodriguez,Sam Hughes,-150,130,0.6,0.4348,2026-03-13T15:46:46.688703
UFC Fight Night: Emmett vs Vallejos,2026-03-14,Elijah Smith,Soo Young Yoo,-260,215,0.7222,0.3175,2026-03-13T15:46:46.688703
UFC Fight Night: Emmett vs Vallejos,2026-03-14,Bia Mesquita,Montserrat Rendon,-750,500,0.8824,0.1667,2026-03-13T15:46:46.688703
UFC Fight Night: Emmett vs Vallejos,2026-03-14,Luan Luiz Lacerda,Hecher Sosa,200,-240,0.3333,0.7059,2026-03-13T15:46:46.688703
UFC Fight Night: Emmett vs Vallejos,2026-03-14,Bolaji Oki,Manoel Sousa,220,-270,0.3125,0.7297,2026-03-13T15:46:46.688703
UFC Fight Night: Emmett vs Vallejos,2026-03-14,Chris Curtis,Myktybek Orolbai,275,-350,0.2667,0.7778,2026-03-13T15:46:46.688703
UFC Fight Night: Emmett vs Vallejos,2026-03-14,Brad Tavares,Eryk Anders,-110,-110,0.5238,0.5238,2026-03-13T15:46:46.688703
UFC Fight Night: Emmett vs Vallejos,2026-03-14,Charles Johnson,Bruno Silva,-170,145,0.6296,0.4082,2026-03-13T15:46:46.688703
UFC Fight Night: Emmett vs Vallejos,2026-03-14,Vitor Petrino,Steven Asplund,-235,195,0.7015,0.339,2026-03-13T15:46:46.688703
UFC Fight Night: Emmett vs Vallejos,2026-03-14,Marwan Rahiki,Harry Hardwick,-270,220,0.7297,0.3125,2026-03-13T15:46:46.688703
UFC Fight Night: Emmett vs Vallejos,2026-03-14,Andre Fili,Jose Delgado,335,-450,0.2299,0.8182,2026-03-13T15:46:46.688703
UFC Fight Night: Emmett vs Vallejos,2026-03-14,Ion Cutelaba,Oumar Sy,210,-250,0.3226,0.7143,2026-03-13T15:46:46.688703
UFC Fight Night: Emmett vs Vallejos,2026-03-14,Amanda Lemos,Gillian Robertson,178,-215,0.3597,0.6825,2026-03-13T15:46:46.688703
