event_name,event_date,event_url,fighter1,fighter2,fighter1_odds,fighter2_odds,fighter1_prob,fighter2_prob
LFA 101: The Undefeated,Mar 12th 2021,https://www.bestfightodds.com/events/lfa-101-the-undefeated-2101,Jalin Fuller,Treston Vines,120,-163,0.4545,0.6198
LFA 101: The Undefeated,Mar 12th 2021,https://www.bestfightodds.com/events/lfa-101-the-undefeated-2101,Anthony Kalani,Tee Cummins,-188,140,0.6528,0.4167
LFA 101: The Undefeated,Mar 12th 2021,https://www.bestfightodds.com/events/lfa-101-the-undefeated-2101,A.J. Nichols,Miguel Jacob,140,-188,0.4167,0.6528
LFA 101: The Undefeated,Mar 12th 2021,https://www.bestfightodds.com/events/lfa-101-the-undefeated-2101,Jaqueline Amorim,Taisha Gandy,-1000,500,0.9091,0.1667
LFA 101: The Undefeated,Mar 12th 2021,https://www.bestfightodds.com/events/lfa-101-the-undefeated-2101,Hunter Colvin,Obinwa Ikebunna,-350,240,0.7778,0.2941
LFA 101: The Undefeated,Mar 12th 2021,https://www.bestfightodds.com/events/lfa-101-the-undefeated-2101,Mark Climaco,Pololu Nakanelua,-350,240,0.7778,0.2941
LFA 101: The Undefeated,Mar 12th 2021,https://www.bestfightodds.com/events/lfa-101-the-undefeated-2101,Alden Coria,Rashaard Robinson,-350,240,0.7778,0.2941
UFC 229: Nurmagomedov vs. McGregor,Oct 6th 2018,https://www.bestfightodds.com/events/ufc-229-nurmagomedov-vs-mcgregor-1566,Conor McGregor,Khabib Nurmagomedov,162,-189,0.3817,0.654
UFC 229: Nurmagomedov vs. McGregor,Oct 6th 2018,https://www.bestfightodds.com/events/ufc-229-nurmagomedov-vs-mcgregor-1566,Anthony Pettis,Tony Ferguson,300,-400,0.25,0.8
UFC 229: Nurmagomedov vs. McGregor,Oct 6th 2018,https://www.bestfightodds.com/events/ufc-229-nurmagomedov-vs-mcgregor-1566,Dominick Reyes,Ovince St. Preux,-250,200,0.7143,0.3333
UFC 229: Nurmagomedov vs. McGregor,Oct 6th 2018,https://www.bestfightodds.com/events/ufc-229-nurmagomedov-vs-mcgregor-1566,Alexander Volkov,Derrick Lewis,-175,150,0.6364,0.4
UFC 229: Nurmagomedov vs. McGregor,Oct 6th 2018,https://www.bestfightodds.com/events/ufc-229-nurmagomedov-vs-mcgregor-1566,Felice Herrig,Michelle Waterson,-139,110,0.5816,0.4762
UFC 229: Nurmagomedov vs. McGregor,Oct 6th 2018,https://www.bestfightodds.com/events/ufc-229-nurmagomedov-vs-mcgregor-1566,Jussier Formiga,Sergio Pettis,162,-189,0.3817,0.654
UFC 229: Nurmagomedov vs. McGregor,Oct 6th 2018,https://www.bestfightodds.com/events/ufc-229-nurmagomedov-vs-mcgregor-1566,Jalin Turner,Vicente Luque,550,-833,0.1538,0.8928
UFC 229: Nurmagomedov vs. McGregor,Oct 6th 2018,https://www.bestfightodds.com/events/ufc-229-nurmagomedov-vs-mcgregor-1566,Aspen Ladd,Tonya Evinger,-189,162,0.654,0.3817
UFC 229: Nurmagomedov vs. McGregor,Oct 6th 2018,https://www.bestfightodds.com/events/ufc-229-nurmagomedov-vs-mcgregor-1566,Alan Patrick,Scott Holtzman,-333,250,0.7691,0.2857
UFC 229: Nurmagomedov vs. McGregor,Oct 6th 2018,https://www.bestfightodds.com/events/ufc-229-nurmagomedov-vs-mcgregor-1566,Lina Lansberg,Yana Kunitskaya,225,-278,0.3077,0.7354
UFC 229: Nurmagomedov vs. McGregor,Oct 6th 2018,https://www.bestfightodds.com/events/ufc-229-nurmagomedov-vs-mcgregor-1566,Gray Maynard,Nik Lentz,200,-250,0.3333,0.7143
UFC 229: Nurmagomedov vs. McGregor,Oct 6th 2018,https://www.bestfightodds.com/events/ufc-229-nurmagomedov-vs-mcgregor-1566,Ryan Laflare,Tony Martin,-139,110,0.5816,0.4762
UFC 230: Cormier vs. Lewis,Nov 3rd 2018,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562,Daniel Cormier,Derrick Lewis,-455,350,0.8198,0.2222
UFC 230: Cormier vs. Lewis,Nov 3rd 2018,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562,Chris Weidman,Ronaldo Souza,-175,150,0.6364,0.4
UFC 230: Cormier vs. Lewis,Nov 3rd 2018,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562,David Branch,Jared Cannonier,-333,250,0.7691,0.2857
UFC 230: Cormier vs. Lewis,Nov 3rd 2018,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562,Jack Marshman,Karl Roberson,275,-357,0.2667,0.7812
UFC 230: Cormier vs. Lewis,Nov 3rd 2018,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562,Derek Brunson,Israel Adesanya,225,-278,0.3077,0.7354
UFC 230: Cormier vs. Lewis,Nov 3rd 2018,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562,Jason Knight,Jordan Rinaldi,-357,275,0.7812,0.2667
