Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-11-22,Ian Machado Garry,Belal Muhammad,No,74.4,88.5,14.1,0.7691,-290,Yes,Yes,0.34
2025-11-22,Myktybek Orolbai,Jack Hermansson,No,66.4,68.1,1.7,0.3628,-198,Yes,Yes,0.51
2025-11-22,Waldo Cortes Acosta,Shamil Gaziev,No,59.7,66.7,7.0,0.3341,-148,Yes,Yes,0.68
2025-11-22,Kyoji Horiguchi,Tagir Ulanbekov,Yes,34.0,51.9,17.9,0.0375,194,Yes,Yes,1.94
2025-11-22,Luke Riley,Bogdan Grad,No,71.4,71.5,0.0,0.4295,-250,Yes,Yes,0.4
2025-11-22,Nicolas Dalby,Saygid Izagakhmaev,Yes,27.0,73.1,46.1,0.4622,270,Yes,Yes,2.7
2025-11-22,Asu Almabayev,Alex Perez,No,67.2,67.8,0.6,0.3562,-205,Yes,Yes,0.49
2025-11-22,Aleksandre Topuria,Bekzat Almakhan,No,58.0,71.1,13.1,0.4226,-138,Yes,Yes,0.72
2025-11-22,Ismail Naurdiev,Ryan Loder,No,55.4,79.2,23.9,0.5845,-124,Yes,Yes,0.81
2025-11-22,Nurullo Aliev,Shem Rock,No,76.2,87.5,11.3,0.7491,-320,Yes,Yes,0.31
2025-11-22,Marek Bujlo,Denzel Freeman,No,69.7,51.2,16.7,0.0236,-230,No,No,-1.0
2025-11-15,Valentina Shevchenko,Zhang Weili,No,58.7,62.2,3.6,0.2448,-142,Yes,Yes,0.7
2025-11-15,Michael Morales,Sean Brady,Yes,43.9,81.1,37.3,0.6225,128,Yes,Yes,1.28
2025-11-15,Carlos Prates,Leon Edwards,No,60.6,74.8,14.2,0.4968,-154,Yes,Yes,0.65
2025-11-15,Benoit Saint Denis,Beneil Dariush,No,65.5,78.6,13.1,0.5725,-190,Yes,Yes,0.53
2025-11-15,Fatima Kline,Angela Hill,No,85.5,86.6,1.1,0.7328,-590,Yes,Yes,0.17
2025-11-01,Steve Garcia,David Onama,No,58.0,76.1,18.1,0.5226,-138,Yes,Yes,0.72
2025-11-01,Waldo Cortes Acosta,Ante Delija,Yes,47.6,64.7,17.1,0.2937,110,Yes,Yes,1.1
2025-11-01,Jeremiah Wells,Themba Gorimbo,Yes,43.1,61.2,18.1,0.2231,132,Yes,Yes,1.32
2025-11-01,Yadier del Valle,Isaac Dulgarian,Yes,44.6,64.2,19.5,0.283,124,Yes,Yes,1.24
2025-11-01,Charles Radtke,Daniel Frunza,No,63.2,65.3,2.1,0.3067,-172,Yes,Yes,0.58
2025-11-01,Donte Johnson,Sedriques Dumas,No,77.8,87.2,9.4,0.7442,-350,Yes,Yes,0.29
2025-11-01,Norma Dumont,Ketlen Vieira,No,63.5,70.8,7.3,0.4154,-174,Yes,Yes,0.57
2025-11-01,Seokhyeon Ko,Phil Rowe,No,64.3,82.9,18.6,0.657,-180,Yes,Yes,0.56
2025-10-25,Azamat Murzakanov,Aleksandar Rakic,Yes,50.0,69.5,19.5,0.3899,100,Yes,Yes,1.0
2025-10-25,Quillan Salkilld,Nasrat Haqparast,No,54.5,79.4,24.8,0.5879,-120,Yes,Yes,0.83
2025-10-25,Ludovit Klein,Mateusz Rebecki,No,55.8,60.8,5.0,0.2157,-126,Yes,Yes,0.79
2025-10-25,Valter Walker,Louie Sutherland,No,80.2,88.7,8.5,0.7742,-405,Yes,Yes,0.25
2025-10-25,Nathaniel Wood,Jose Delgado,Yes,42.4,57.3,14.9,0.1464,136,Yes,Yes,1.36
2025-10-25,Hamdy Abdelwahab,Chris Barnett,No,81.1,83.4,2.3,0.6687,-430,Yes,Yes,0.23
2025-10-25,Mitch Raposo,Azat Maksum,Yes,20.6,65.9,45.2,0.3173,385,Yes,Yes,3.85
2025-10-18,Brendan Allen,Reinier de Ridder,Yes,35.2,50.2,15.0,0.0044,184,Yes,Yes,1.84
2025-10-18,Mike Malott,Kevin Holland,Yes,51.5,55.2,3.7,0.1034,-106,Yes,Yes,0.94
2025-10-18,Aiemann Zahabi,Marlon Vera,No,56.9,71.8,14.9,0.4358,-132,Yes,Yes,0.76
2025-10-18,Manon Fiorot,Jasmine Jasudavicius,No,69.7,72.8,3.1,0.4563,-230,Yes,Yes,0.43
2025-10-18,Charles Jourdain,Davey Grant,No,65.5,68.4,2.8,0.3672,-190,Yes,Yes,0.53
2025-10-18,Kyle Nelson,Matt Frevola,No,56.9,59.6,2.7,0.1913,-132,Yes,Yes,0.76
