feature,importance
f1_striking_volume_control,90.0
f2_striking_volume_control,78.0
age_difference,77.0
takedown_ability_diff,58.0
f1_striking_differential,39.0
recent_control_time_sec_last_3_diff,39.0
striking_differential,38.0
f1_reach_inches,36.0
f2_striking_differential,35.0
recent_sig_strike_diff_last_3_diff,35.0
f2_sig_strikes_landed_per_min,34.0
striking_output_diff,33.0
time_decayed_win_rate_adj_opp_quality_diff,33.0
f2_recent_control_time_sec_last_3,32.0
takedown_matchup,32.0
f2_avg_beaten_opponent_win_rate,31.0
f2_reach_inches,30.0
f2_age_x_days_since_last_fight,29.0
f2_days_between_last_2_fights,28.0
f1_avg_beaten_opponent_win_rate,28.0
f2_losses,28.0
f1_days_since_last_fight,27.0
f2_avg_beaten_opponent_total_fights,26.0
f1_days_between_last_2_fights,26.0
f1_recent_control_time_sec_last_3,25.0
f2_age,25.0
power_striker_score_diff,25.0
f1_age_x_days_since_last_fight,25.0
avg_beaten_opponent_win_rate_diff,24.0
recent_finish_loss_ratio_last_2_diff,24.0
age_x_days_since_last_fight_diff,24.0
f1_time_decayed_ko_rate,23.0
striking_accuracy_x_opponent_quality_diff,23.0
f2_recent_sig_strike_diff_last_3,22.0
f1_round_3_performance_score,22.0
age_x_fights_since_last_win_diff,22.0
recent_vs_career_win_rate_diff,22.0
f2_power_striker_score,22.0
f2_ko_rate,21.0
f1_sig_strikes_landed_per_min,21.0
f1_avg_beaten_opponent_total_fights,21.0
f1_age,21.0
f1_age_x_fights_since_last_win,21.0
f2_age_x_fights_in_last_year,20.0
f2_avg_lost_to_opponent_win_rate,20.0
f1_losses,20.0
f1_power_striker_score,20.0
f2_days_since_last_fight,19.0
prospect_momentum_score_diff,19.0
striking_volume_control_x_opponent_quality_diff,19.0
f1_avg_lost_to_opponent_win_rate,19.0
f1_recent_sig_strike_diff_last_3,19.0
f1_early_finish_advantage,18.0
height_advantage,18.0
f2_round_3_performance_score,18.0
recent_form_quality_adjusted_diff,18.0
reach_advantage,18.0
time_decayed_ko_rate_diff,18.0
f1_time_decayed_win_rate_adj_opp_quality,17.0
f1_wins,17.0
f2_performance_trend,17.0
f2_time_decayed_finish_rate,17.0
f1_submission_rate,17.0
f1_age_x_fights_in_last_year,16.0
early_finish_advantage_diff,15.0
f1_recent_form_quality_adjusted,14.0
age_x_fights_in_last_year_diff,14.0
f2_avg_fight_duration_rounds,14.0
f1_recent_vs_career_win_rate,14.0
f2_submission_rate,13.0
round_3_performance_diff,13.0
round_3_win_rate_diff,12.0
f2_recent_vs_career_win_rate,12.0
f2_round_3_finish_rate,12.0
f2_age_x_fights_since_last_win,12.0
f2_recent_finish_loss_ratio_last_2,12.0
f2_wins,12.0
f1_round_3_fight_rate,12.0
f1_decision_rate,12.0
f1_prospect_momentum_score,12.0
first_round_finish_rate_diff,11.0
f1_ko_rate,11.0
f1_time_decayed_finish_rate,11.0
time_decayed_finish_rate_diff,11.0
f2_round_3_fight_rate,10.0
f2_first_round_finish_rate,10.0
f1_total_fights,10.0
f2_early_finish_advantage,10.0
striking_differential_x_opponent_quality_diff,10.0
win_rate_last_3_years_diff,9.0
f1_avg_fight_duration_rounds,9.0
f2_decision_rate,9.0
f2_win_rate_last_3_years,8.0
f2_time_decayed_ko_rate,8.0
age_x_years_since_last_fight_diff,8.0
opponent_quality_score_diff_squared,8.0
experience_difference,8.0
f2_prospect_momentum_score,8.0
age_x_recent_vs_career_decline_diff,8.0
f1_first_round_finish_rate,8.0
style_volatility_mismatch_diff,8.0
f2_total_fights,7.0
f1_recent_finish_loss_ratio_last_2,7.0
f2_age_x_recent_vs_career_decline,7.0
f1_age_x_recent_vs_career_decline,7.0
f1_youth_form_score,6.0
time_decayed_win_rate_x_opponent_quality_diff,5.0
f2_sig_strikes_landed_per_min_lifetime,5.0
f2_round_3_win_rate,5.0
f1_performance_trend,5.0
f2_age_x_years_since_last_fight,5.0
f1_round_3_finish_rate,5.0
f1_age_x_years_since_last_fight,4.0
f1_sig_strikes_landed_per_min_lifetime,4.0
f1_win_rate_last_3_years,4.0
orthodox_vs_orthodox,3.0
f2_youth_form_score,3.0
f2_recent_form_quality_adjusted,3.0
youth_form_score_diff,3.0
win_streak_diff,2.0
f1_long_layoff_over_1yr,1.0
f2_recent_losses_last_2,1.0
f2_activity_rate,1.0
