feature,importance
age_difference,75.0
f1_striking_volume_control,69.0
f2_striking_volume_control,68.0
takedown_ability_diff,46.0
recent_control_time_sec_last_3_diff,33.0
takedown_matchup,33.0
f2_striking_differential,33.0
f1_striking_differential,32.0
avg_opponent_win_rate_diff,30.0
striking_differential,29.0
finish_rate_diff,28.0
takedown_x_opp_quality_diff,27.0
f1_striking_accuracy,27.0
striking_output_diff,26.0
f2_striking_accuracy,26.0
recent_sig_strike_diff_last_3_diff,25.0
f1_age,25.0
f1_reach_inches,24.0
age_x_days_since_last_fight_diff,23.0
f2_recent_control_time_diff_last_3,23.0
striking_accuracy_diff,22.0
f1_avg_opponent_win_rate,22.0
f1_days_since_last_fight,21.0
f1_days_between_last_2_fights,21.0
f1_time_decayed_ko_rate,21.0
f2_sig_strikes_landed_per_min,21.0
f2_avg_beaten_opponent_total_fights,21.0
f1_age_x_days_since_last_fight,21.0
f2_age,20.0
consistency_advantage_diff,20.0
f2_avg_opponent_win_rate,20.0
f1_avg_opponent_total_fights,20.0
f2_reach_inches,19.0
f2_recent_sig_strike_diff_last_3,19.0
f2_recent_control_time_sec_last_3,19.0
f2_age_x_days_since_last_fight,19.0
time_decayed_win_rate_adj_opp_quality_diff,19.0
f1_time_decayed_win_rate_adj_opp_quality,19.0
age_x_fights_in_last_year_diff,17.0
f1_round_3_performance_score,17.0
recent_form_quality_adjusted_diff,17.0
f1_avg_beaten_opponent_win_rate,16.0
f1_sig_strikes_landed_per_min,16.0
f1_avg_beaten_opponent_total_fights,16.0
f1_recent_control_time_sec_last_3,16.0
recent_finish_losses_last_2_diff,16.0
power_striker_score_diff,16.0
prospect_momentum_score_diff,16.0
striking_volume_x_opp_quality_diff,16.0
f2_days_since_last_fight,16.0
f2_avg_opponent_total_fights,15.0
f2_days_between_last_2_fights,15.0
f2_losses,15.0
f1_round_3_fight_rate,15.0
height_advantage,15.0
fighter_tier_score_diff,15.0
f1_losses,15.0
f1_submission_rate,15.0
round_3_win_rate_diff,15.0
time_decayed_ko_rate_diff,14.0
f1_time_decayed_win_rate,14.0
reach_advantage,14.0
recent_control_time_diff_last_3_diff,13.0
f2_avg_lost_to_opponent_win_rate,13.0
f2_wins,13.0
opponent_quality_score_diff,13.0
f1_avg_lost_to_opponent_win_rate,13.0
f2_time_decayed_win_rate,12.0
f2_power_striker_score,12.0
experience_difference,12.0
f1_age_x_fights_in_last_year,12.0
f2_avg_fight_duration_rounds,12.0
recent_form_x_opp_quality_diff,12.0
striking_accuracy_x_opponent_quality_diff,12.0
f1_recent_sig_strike_diff_last_3,12.0
f1_early_finish_advantage,11.0
recent_finish_loss_ratio_last_2_diff,11.0
f1_time_decayed_finish_rate,11.0
striking_differential_x_opponent_quality_diff,11.0
round_3_performance_diff,10.0
f2_prospect_momentum_score,10.0
f1_recent_control_time_diff_last_3,10.0
f1_power_striker_score,10.0
f2_recent_knockdown_diff_last_3,10.0
avg_beaten_opponent_win_rate_diff,10.0
age_x_recent_vs_career_decline_diff,10.0
striking_volume_control_x_opponent_quality_diff,10.0
f2_round_3_performance_score,9.0
f2_performance_trend,9.0
f2_ko_rate,9.0
f2_weight_lbs,9.0
age_advantage_x_tier_diff,9.0
opponent_quality_score_diff_squared,9.0
f1_sig_strikes_landed_per_min_lifetime,9.0
age_x_fights_since_last_win_diff,9.0
wins_last_3_years_diff,9.0
early_finish_advantage_diff,9.0
f1_finish_rate,9.0
f1_opponent_quality_score,9.0
f1_recent_vs_career_win_rate,9.0
f2_recent_vs_career_win_rate,9.0
f2_first_round_finish_rate,8.0
f2_round_3_fight_rate,8.0
f2_round_3_finish_rate,8.0
f2_age_x_fights_in_last_year,8.0
f1_height_cm,8.0
f1_decision_rate,8.0
f2_time_decayed_finish_rate,8.0
f2_time_decayed_ko_rate,7.0
f1_wins,7.0
age_x_recent_sig_strike_diff_last_3_diff,7.0
age_x_years_since_last_fight_diff,7.0
f2_age_x_fights_since_last_win,7.0
time_decayed_win_rate_diff,7.0
f2_submission_rate,7.0
f2_avg_beaten_opponent_win_rate,7.0
f1_total_fights,7.0
f2_finish_rate,7.0
f1_recent_knockdown_diff_last_3,7.0
f2_total_fights,7.0
finish_rate_last_3_years_diff,7.0
recent_vs_career_win_rate_diff,7.0
time_decayed_finish_rate_diff,6.0
f1_prospect_momentum_score,6.0
f2_sig_strikes_landed_per_min_lifetime,6.0
time_decayed_win_rate_x_opponent_quality_diff,6.0
f1_ko_rate,6.0
f2_win_rate_last_3_years,6.0
f1_age_x_fights_since_last_win,6.0
f2_age_x_recent_vs_career_decline,5.0
decision_losses_since_last_win_diff,5.0
f1_age_x_recent_vs_career_decline,5.0
f1_avg_fight_duration_rounds,5.0
f1_decision_losses_since_last_win,5.0
f2_early_finish_advantage,5.0
f1_finish_rate_last_3_years,5.0
f2_finish_rate_last_5,5.0
first_round_finish_rate_diff,5.0
win_rate_last_3_years_diff,4.0
orthodox_vs_southpaw,4.0
f2_current_win_streak,4.0
f1_performance_trend,4.0
f1_early_finish_rate_last_3,4.0
f1_win_rate_last_3_years,4.0
f1_wins_last_3_years,4.0
f2_age_x_years_since_last_fight,4.0
f2_decision_losses_since_last_win,4.0
f1_finish_rate_last_3,4.0
f1_early_finish_rate_last_5,4.0
f1_round_3_win_rate,4.0
early_finish_rate_last_5_diff,4.0
f2_finish_rate_last_3_years,3.0
win_streak_diff,3.0
f2_recent_finish_loss_ratio_last_2,3.0
orthodox_vs_orthodox,3.0
f2_recent_finish_loss_last_fight,3.0
f1_youth_form_score,3.0
f1_round_3_finish_rate,3.0
losses_last_3_years_diff,3.0
f1_recent_losses_last_2,3.0
f1_recent_form_quality_adjusted,3.0
recent_form_diff,3.0
f1_recent_finish_loss_ratio_last_2,3.0
f2_current_loss_streak,3.0
finish_losses_since_last_win_diff,3.0
recent_knockdown_diff_last_3_diff,3.0
f1_first_round_finish_rate,3.0
f1_finish_rate_last_5,3.0
f1_age_in_prime,3.0
f1_age_x_years_since_last_fight,3.0
style_volatility_mismatch_diff,3.0
youth_form_score_diff,3.0
f1_current_loss_streak,2.0
early_finish_rate_last_3_diff,2.0
f1_recent_finish_loss_last_fight,2.0
f1_stance_switch,2.0
f1_weight_lbs,2.0
f2_recent_form_quality_adjusted,2.0
f2_youth_form_score,2.0
f2_win_rate_last_3,2.0
f2_draws,2.0
f2_finish_rate_last_3,2.0
f2_first_round_ko_rate,2.0
f2_losses_last_3_years,2.0
f2_early_finish_rate_last_5,2.0
f2_opponent_quality_score,2.0
first_round_ko_rate_diff,2.0
f2_stance_orthodox,2.0
f2_time_decayed_win_rate_adj_opp_quality,1.0
f2_ko_rate_last_5,1.0
common_opponent_performance_diff,1.0
both_strikers,1.0
f1_current_win_streak,1.0
both_finishers,1.0
f2_fights_since_last_win,1.0
f1_draws,1.0
f1_activity_rate,1.0
f2_early_finish_rate_last_3,1.0
f1_fights_in_last_year,1.0
f1_win_rate_last_3,1.0
striker_vs_grappler,1.0
f1_first_round_ko_rate,1.0
f1_ko_rate_last_3,1.0
f1_losses_since_last_win,1.0
f2_decision_rate,1.0
f2_wins_last_3_years,1.0
f2_age_past_prime,1.0
f2_age_in_prime,1.0
long_layoff_over_1yr_diff,1.0
recent_finish_loss_last_fight_diff,1.0
losses_since_last_win_diff,1.0
f2_recent_losses_last_2,1.0
