Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-11-22,Shamil Gaziev,Waldo Cortes Acosta,No,59.7,56.4,12.2,0.1289,-148,No,No,-1.0
2025-11-22,Bogdan Grad,Luke Riley,No,71.4,69.6,36.9,0.3928,-250,No,No,-1.0
2025-11-22,Nicolas Dalby,Saygid Izagakhmaev,Yes,27.0,50.6,23.5,0.0115,270,Yes,Yes,2.7
2025-11-22,Ismail Naurdiev,Ryan Loder,No,55.4,58.1,2.7,0.1617,-124,Yes,Yes,0.81
2025-11-22,Nurullo Aliev,Shem Rock,No,76.2,77.9,1.7,0.5584,-320,Yes,Yes,0.31
2025-11-22,Marek Bujlo,Denzel Freeman,No,69.7,58.2,23.7,0.1642,-230,No,No,-1.0
2025-11-15,Zhang Weili,Valentina Shevchenko,No,58.7,62.4,16.9,0.2474,-142,No,No,-1.0
2025-11-15,Michael Morales,Sean Brady,Yes,43.9,71.5,27.6,0.4291,128,Yes,Yes,1.28
2025-11-15,Carlos Prates,Leon Edwards,No,60.6,62.4,1.7,0.247,-154,Yes,Yes,0.65
2025-11-08,Muslim Salikhov,Uros Medic,No,56.5,51.8,4.2,0.0358,-130,No,No,-1.0
2025-11-08,Christian Leroy Duncan,Marco Tulio,Yes,41.7,54.8,13.2,0.0964,140,Yes,Yes,1.4
2025-11-01,Steve Garcia,David Onama,No,58.0,66.5,8.6,0.3309,-138,Yes,Yes,0.72
2025-11-01,Waldo Cortes Acosta,Ante Delija,Yes,47.6,51.1,3.5,0.0228,110,Yes,Yes,1.1
2025-11-01,Themba Gorimbo,Jeremiah Wells,Yes,43.1,64.5,2.1,0.2904,132,No,No,-1.0
2025-11-01,Yadier del Valle,Isaac Dulgarian,Yes,44.6,62.9,18.3,0.2584,124,Yes,Yes,1.24
2025-11-01,Cody Durden,Allan Nascimento,No,75.6,53.2,24.6,0.0634,-310,No,No,-1.0
2025-11-01,Seokhyeon Ko,Phil Rowe,No,64.3,66.5,2.2,0.3305,-180,Yes,Yes,0.56
2025-11-01,Ariane Carnelossi,Talita Alencar,No,69.2,55.5,20.8,0.1107,-225,No,No,-1.0
2025-10-25,Virna Jandiroba,Mackenzie Dern,No,57.3,56.5,9.8,0.1303,-134,No,No,-1.0
2025-10-25,Azamat Murzakanov,Aleksandar Rakic,Yes,50.0,59.3,9.3,0.187,100,Yes,Yes,1.0
2025-10-25,Quillan Salkilld,Nasrat Haqparast,No,54.5,75.1,20.6,0.5023,-120,Yes,Yes,0.83
2025-10-25,Mateusz Rebecki,Ludovit Klein,No,55.8,50.5,2.4,0.0098,-126,No,No,-1.0
2025-10-25,Mitch Raposo,Azat Maksum,Yes,20.6,54.0,33.3,0.0791,385,Yes,Yes,3.85
2025-10-18,Kevin Holland,Mike Malott,Yes,51.5,54.5,2.2,0.0909,-106,No,No,-1.0
2025-10-18,Marlon Vera,Aiemann Zahabi,No,56.9,51.4,4.2,0.0276,-132,No,No,-1.0
2025-10-18,Jasmine Jasudavicius,Manon Fiorot,No,69.7,53.9,19.5,0.0787,-230,No,No,-1.0
2025-10-18,Kyle Nelson,Matt Frevola,No,56.9,59.1,2.2,0.1827,-132,Yes,Yes,0.76
2025-10-18,Tainara Lisboa,Melissa Croden,No,56.9,66.4,19.3,0.3286,-132,No,No,-1.0
2025-10-11,Mateusz Gamrot,Charles Oliveira,No,51.9,54.7,2.8,0.0936,-108,No,No,-1.0
2025-10-04,Alex Pereira,Magomed Ankalaev,Yes,32.8,61.9,29.1,0.238,205,Yes,Yes,2.05
2025-10-04,Jiri Prochazka,Khalil Rountree Jr.,No,66.0,74.1,8.1,0.4822,-194,Yes,Yes,0.52
2025-10-04,Jakub Wiklacz,Patchy Mix,Yes,26.3,52.8,26.5,0.0568,280,Yes,Yes,2.8
2025-09-27,Neil Magny,Jake Matthews,Yes,27.8,50.6,22.8,0.0121,260,Yes,Yes,2.6
