Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-11-22,Nurullo Aliev,Shem Rock,No,76.2,77.9,1.7,0.5584,-320,Yes,Yes,0.31
2025-11-15,Michael Morales,Sean Brady,Yes,43.9,71.5,27.6,0.4291,128,Yes,Yes,1.28
2025-10-25,Quillan Salkilld,Nasrat Haqparast,No,54.5,75.1,20.6,0.5023,-120,Yes,Yes,0.83
2025-10-04,Jiri Prochazka,Khalil Rountree Jr.,No,66.0,74.1,8.1,0.4822,-194,Yes,Yes,0.52
2025-09-06,William Gomis,Robert Ruchala,No,73.0,80.0,7.1,0.6009,-270,Yes,Yes,0.37
2025-09-06,Kaue Fernandes,Harry Hardwick,No,67.7,85.6,17.8,0.7111,-210,Yes,Yes,0.48
2025-08-16,Carlos Prates,Geoff Neal,No,66.7,73.6,6.9,0.4714,-200,Yes,Yes,0.5
2025-08-16,Karine Silva,Dione Barbosa,No,66.7,71.7,5.0,0.4339,-200,Yes,Yes,0.5
2025-08-09,Iasmin Lucindo,Angela Hill,No,63.2,74.9,11.7,0.4985,-172,Yes,Yes,0.58
2025-08-09,Christian Rodriguez,Andre Fili,Yes,32.8,73.1,1.7,0.463,205,No,No,-1.0
2025-06-21,Myktybek Orolbai,Tofiq Musayev,No,65.0,86.4,21.3,0.7271,-186,Yes,Yes,0.54
2025-06-07,MarQuel Mederos,Mark Choinski,No,60.6,78.7,18.1,0.574,-154,Yes,Yes,0.65
2025-05-17,Michael Morales,Gilbert Burns,No,82.8,85.8,3.1,0.7166,-480,Yes,Yes,0.21
2025-05-10,Mike Malott,Charles Radtke,No,66.7,70.1,3.5,0.4024,-200,Yes,Yes,0.5
2025-04-05,Rhys McKee,Daniel Frunza,Yes,49.0,73.6,24.6,0.4727,104,Yes,Yes,1.04
2025-03-29,Manuel Torres,Drew Dober,No,55.4,73.2,17.9,0.465,-124,Yes,Yes,0.81
2025-03-29,Raul Rosas Jr.,Vince Morales,No,82.8,85.0,2.2,0.7,-480,Yes,Yes,0.21
2025-03-22,Chris Padilla,Jai Herbert,Yes,47.6,75.9,28.3,0.5188,110,Yes,Yes,1.1
2025-03-22,Mick Parkin,Marcin Tybura,Yes,41.3,70.8,8.1,0.4152,142,No,No,-1.0
2025-03-22,Nathan Fletcher,Caolan Loughran,Yes,43.1,80.5,19.6,0.6105,132,No,No,-1.0
2025-03-01,William Gomis,Hyder Amil,Yes,36.2,73.6,5.9,0.4727,176,No,No,-1.0
2025-02-22,Song Yadong,Henry Cejudo,No,71.8,73.9,2.1,0.478,-255,Yes,Yes,0.39
2025-02-22,Jean Matsumoto,Rob Font,Yes,37.3,71.0,4.4,0.4209,168,No,No,-1.0
2025-02-22,Ibo Aslan,Ion Cutelaba,Yes,35.7,71.2,3.0,0.4245,180,No,No,-1.0
2025-02-15,Gregory Rodrigues,Jared Cannonier,Yes,34.0,78.6,8.0,0.5711,194,No,No,-1.0
2025-02-08,Dricus Du Plessis,Sean Strickland,No,68.8,73.6,4.9,0.4729,-220,Yes,Yes,0.45
2025-02-08,Rongzhu,Kody Steele,Yes,26.3,77.5,51.1,0.5492,280,Yes,Yes,2.8
2025-01-11,Christian Rodriguez,Austin Bashi,Yes,31.7,75.2,43.5,0.5044,215,Yes,Yes,2.15
2025-12-06,Payton Talbott,Henry Cejudo,No,71.4,82.8,11.3,0.6554,-250,Yes,Yes,0.4
