Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-11-22,Ian Machado Garry,Belal Muhammad,No,74.4,76.5,2.2,0.5308,-290,Yes,Yes,0.34
2025-11-22,Bogdan Grad,Luke Riley,No,71.4,55.2,22.4,0.1039,-250,No,No,-1.0
2025-11-22,Aleksandre Topuria,Bekzat Almakhan,No,58.0,62.7,4.7,0.2534,-138,Yes,Yes,0.72
2025-11-22,Ismail Naurdiev,Ryan Loder,No,55.4,65.7,10.4,0.3147,-124,Yes,Yes,0.81
2025-11-22,Nurullo Aliev,Shem Rock,No,76.2,81.2,5.1,0.6249,-320,Yes,Yes,0.31
2025-11-22,Marek Bujlo,Denzel Freeman,No,69.7,65.5,31.1,0.3107,-230,No,No,-1.0
2025-11-15,Zhang Weili,Valentina Shevchenko,No,58.7,59.4,13.9,0.1871,-142,No,No,-1.0
2025-11-15,Michael Morales,Sean Brady,Yes,43.9,65.0,21.2,0.3002,128,Yes,Yes,1.28
2025-11-15,Carlos Prates,Leon Edwards,No,60.6,62.5,1.8,0.2492,-154,Yes,Yes,0.65
2025-11-08,Muslim Salikhov,Uros Medic,No,56.5,52.1,4.5,0.0416,-130,No,No,-1.0
2025-11-08,Christian Leroy Duncan,Marco Tulio,Yes,41.7,61.8,20.2,0.2367,140,Yes,Yes,1.4
2025-11-01,Steve Garcia,David Onama,No,58.0,70.7,12.7,0.4145,-138,Yes,Yes,0.72
2025-11-01,Themba Gorimbo,Jeremiah Wells,Yes,43.1,72.7,10.3,0.4545,132,No,No,-1.0
2025-11-01,Yadier del Valle,Isaac Dulgarian,Yes,44.6,54.6,9.9,0.0913,124,Yes,Yes,1.24
2025-11-01,Norma Dumont,Ketlen Vieira,No,63.5,68.6,5.1,0.3715,-174,Yes,Yes,0.57
2025-11-01,Seokhyeon Ko,Phil Rowe,No,64.3,78.6,14.3,0.5714,-180,Yes,Yes,0.56
2025-11-01,Ariane Carnelossi,Talita Alencar,No,69.2,50.1,15.3,0.0014,-225,No,No,-1.0
2025-10-25,Virna Jandiroba,Mackenzie Dern,No,57.3,59.5,12.7,0.1892,-134,No,No,-1.0
2025-10-25,Azamat Murzakanov,Aleksandar Rakic,Yes,50.0,65.5,15.5,0.3109,100,Yes,Yes,1.0
2025-10-25,Quillan Salkilld,Nasrat Haqparast,No,54.5,77.8,23.2,0.5555,-120,Yes,Yes,0.83
2025-10-25,JunYong Park,Ikram Aliskerov,No,69.7,55.0,20.6,0.101,-230,No,No,-1.0
2025-10-25,Mateusz Rebecki,Ludovit Klein,No,55.8,50.6,2.5,0.0125,-126,No,No,-1.0
2025-10-18,Kevin Holland,Mike Malott,Yes,51.5,53.0,0.6,0.0599,-106,No,No,-1.0
2025-10-18,Marlon Vera,Aiemann Zahabi,No,56.9,50.3,3.1,0.0055,-132,No,No,-1.0
2025-10-18,Yousri Belgaroui,Azamat Bekoev,Yes,29.4,50.7,21.3,0.0135,240,Yes,Yes,2.4
2025-10-18,Melissa Croden,Tainara Lisboa,No,56.9,61.5,4.6,0.2302,-132,Yes,Yes,0.76
2025-10-11,Mateusz Gamrot,Charles Oliveira,No,51.9,56.9,5.0,0.1386,-108,No,No,-1.0
2025-10-11,Montel Jackson,Deiveson Figueiredo,Yes,27.4,77.1,0.3,0.5413,265,No,No,-1.0
2025-10-04,Alex Pereira,Magomed Ankalaev,Yes,32.8,55.2,22.5,0.1049,205,Yes,Yes,2.05
2025-10-04,Jiri Prochazka,Khalil Rountree Jr.,No,66.0,70.6,4.6,0.4114,-194,Yes,Yes,0.52
2025-10-04,Youssef Zalal,Josh Emmett,No,82.1,84.3,2.1,0.6857,-460,Yes,Yes,0.22
2025-10-04,Jakub Wiklacz,Patchy Mix,Yes,26.3,66.8,40.5,0.3363,280,Yes,Yes,2.8
2025-09-27,Neil Magny,Jake Matthews,Yes,27.8,52.9,25.1,0.058,260,Yes,Yes,2.6
2025-09-27,Charlie Campbell,Tom Nolan,No,61.2,63.1,20.4,0.2628,-158,No,No,-1.0
2025-09-27,Navajo Stirling,Rodolfo Bellato,No,73.0,73.8,0.8,0.4756,-270,Yes,Yes,0.37
2025-09-27,Cam Rowston,Andre Petroski,Yes,40.7,58.4,17.7,0.1677,146,Yes,Yes,1.46
