Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-11-22,Ian Machado Garry,Belal Muhammad,No,74.4,75.7,1.3,0.5137,-290,Yes,Yes,0.34
2025-11-22,Shamil Gaziev,Waldo Cortes Acosta,No,59.7,50.4,6.2,0.0081,-148,No,No,-1.0
2025-11-22,Bogdan Grad,Luke Riley,No,71.4,51.7,18.9,0.0346,-250,No,No,-1.0
2025-11-22,Aleksandre Topuria,Bekzat Almakhan,No,58.0,66.9,8.9,0.3375,-138,Yes,Yes,0.72
2025-11-22,Ismail Naurdiev,Ryan Loder,No,55.4,67.8,12.4,0.3559,-124,Yes,Yes,0.81
2025-11-22,Nurullo Aliev,Shem Rock,No,76.2,80.9,4.7,0.6182,-320,Yes,Yes,0.31
2025-11-22,Marek Bujlo,Denzel Freeman,No,69.7,66.2,31.7,0.3232,-230,No,No,-1.0
2025-11-15,Zhang Weili,Valentina Shevchenko,No,58.7,57.6,12.1,0.1511,-142,No,No,-1.0
2025-11-15,Michael Morales,Sean Brady,Yes,43.9,66.4,22.6,0.3283,128,Yes,Yes,1.28
2025-11-15,Carlos Prates,Leon Edwards,No,60.6,64.2,3.5,0.2831,-154,Yes,Yes,0.65
2025-11-15,Benoit Saint Denis,Beneil Dariush,No,65.5,68.0,2.5,0.3607,-190,Yes,Yes,0.53
2025-11-15,Roman Kopylov,Gregory Rodrigues,No,66.2,53.0,15.1,0.0597,-196,No,No,-1.0
2025-11-08,Randy Brown,Gabriel Bonfim,No,62.1,52.4,10.4,0.049,-164,No,No,-1.0
2025-11-08,Christian Leroy Duncan,Marco Tulio,Yes,41.7,65.5,23.8,0.3097,140,Yes,Yes,1.4
2025-11-01,Steve Garcia,David Onama,No,58.0,70.6,12.6,0.4123,-138,Yes,Yes,0.72
2025-11-01,Waldo Cortes Acosta,Ante Delija,Yes,47.6,53.1,5.5,0.0627,110,Yes,Yes,1.1
2025-11-01,Themba Gorimbo,Jeremiah Wells,Yes,43.1,71.3,8.9,0.4252,132,No,No,-1.0
2025-11-01,Yadier del Valle,Isaac Dulgarian,Yes,44.6,57.8,13.1,0.1555,124,Yes,Yes,1.24
2025-11-01,Norma Dumont,Ketlen Vieira,No,63.5,66.7,3.2,0.3333,-174,Yes,Yes,0.57
2025-11-01,Seokhyeon Ko,Phil Rowe,No,64.3,77.3,13.0,0.5464,-180,Yes,Yes,0.56
2025-10-25,Virna Jandiroba,Mackenzie Dern,No,57.3,62.2,15.4,0.2432,-134,No,No,-1.0
2025-10-25,Azamat Murzakanov,Aleksandar Rakic,Yes,50.0,59.8,9.8,0.1953,100,Yes,Yes,1.0
2025-10-25,Quillan Salkilld,Nasrat Haqparast,No,54.5,76.7,22.2,0.5349,-120,Yes,Yes,0.83
2025-10-25,JunYong Park,Ikram Aliskerov,No,69.7,56.2,21.7,0.1239,-230,No,No,-1.0
2025-10-25,Mateusz Rebecki,Ludovit Klein,No,55.8,50.7,2.6,0.0133,-126,No,No,-1.0
2025-10-25,Valter Walker,Louie Sutherland,No,80.2,80.7,0.5,0.6139,-405,Yes,Yes,0.25
2025-10-25,Mitch Raposo,Azat Maksum,Yes,20.6,50.6,30.0,0.0118,385,Yes,Yes,3.85
