Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-11-22,Ian Machado Garry,Belal Muhammad,No,74.4,74.5,0.2,0.4907,-290,Yes,Yes,0.34
2025-11-22,Shamil Gaziev,Waldo Cortes Acosta,No,59.7,51.9,7.7,0.0387,-148,No,No,-1.0
2025-11-22,Bogdan Grad,Luke Riley,No,71.4,52.2,19.4,0.0435,-250,No,No,-1.0
2025-11-22,Aleksandre Topuria,Bekzat Almakhan,No,58.0,68.8,10.8,0.3765,-138,Yes,Yes,0.72
2025-11-22,Ismail Naurdiev,Ryan Loder,No,55.4,67.3,12.0,0.3467,-124,Yes,Yes,0.81
2025-11-22,Nurullo Aliev,Shem Rock,No,76.2,81.5,5.3,0.6304,-320,Yes,Yes,0.31
2025-11-22,Marek Bujlo,Denzel Freeman,No,69.7,63.8,29.3,0.276,-230,No,No,-1.0
2025-11-15,Zhang Weili,Valentina Shevchenko,No,58.7,57.4,11.9,0.1471,-142,No,No,-1.0
2025-11-15,Michael Morales,Sean Brady,Yes,43.9,69.3,25.4,0.3852,128,Yes,Yes,1.28
2025-11-15,Carlos Prates,Leon Edwards,No,60.6,62.9,2.3,0.2583,-154,Yes,Yes,0.65
2025-11-15,Benoit Saint Denis,Beneil Dariush,No,65.5,67.8,2.3,0.3562,-190,Yes,Yes,0.53
2025-11-15,Roman Kopylov,Gregory Rodrigues,No,66.2,51.4,13.5,0.028,-196,No,No,-1.0
2025-11-08,Randy Brown,Gabriel Bonfim,No,62.1,50.2,8.2,0.0038,-164,No,No,-1.0
2025-11-08,Muslim Salikhov,Uros Medic,No,56.5,50.2,2.6,0.0042,-130,No,No,-1.0
2025-11-08,Ismael Bonfim,Chris Padilla,No,54.1,52.2,2.2,0.0441,-118,No,No,-1.0
2025-11-08,Christian Leroy Duncan,Marco Tulio,Yes,41.7,60.2,18.5,0.2037,140,Yes,Yes,1.4
2025-11-01,Steve Garcia,David Onama,No,58.0,70.2,12.2,0.4042,-138,Yes,Yes,0.72
2025-11-01,Waldo Cortes Acosta,Ante Delija,Yes,47.6,53.7,6.1,0.0746,110,Yes,Yes,1.1
2025-11-01,Themba Gorimbo,Jeremiah Wells,Yes,43.1,70.7,8.2,0.4131,132,No,No,-1.0
2025-11-01,Yadier del Valle,Isaac Dulgarian,Yes,44.6,54.1,9.5,0.0827,124,Yes,Yes,1.24
2025-11-01,Norma Dumont,Ketlen Vieira,No,63.5,65.9,2.4,0.3184,-174,Yes,Yes,0.57
2025-11-01,Seokhyeon Ko,Phil Rowe,No,64.3,78.5,14.2,0.5707,-180,Yes,Yes,0.56
2025-10-25,Virna Jandiroba,Mackenzie Dern,No,57.3,60.8,14.0,0.2151,-134,No,No,-1.0
2025-10-25,Azamat Murzakanov,Aleksandar Rakic,Yes,50.0,61.1,11.1,0.2211,100,Yes,Yes,1.0
2025-10-25,Quillan Salkilld,Nasrat Haqparast,No,54.5,77.4,22.9,0.548,-120,Yes,Yes,0.83
2025-10-25,JunYong Park,Ikram Aliskerov,No,69.7,58.2,23.7,0.1635,-230,No,No,-1.0
2025-10-25,Mateusz Rebecki,Ludovit Klein,No,55.8,51.5,3.5,0.0309,-126,No,No,-1.0
2025-10-25,Valter Walker,Louie Sutherland,No,80.2,82.9,2.7,0.6572,-405,Yes,Yes,0.25
2025-10-25,Mitch Raposo,Azat Maksum,Yes,20.6,50.6,30.0,0.0129,385,Yes,Yes,3.85
2025-10-18,Yousri Belgaroui,Azamat Bekoev,Yes,29.4,55.4,26.0,0.1087,240,Yes,Yes,2.4
2025-10-18,Melissa Croden,Tainara Lisboa,No,56.9,63.6,6.7,0.2725,-132,Yes,Yes,0.76
2025-10-11,Mateusz Gamrot,Charles Oliveira,No,51.9,61.4,9.5,0.2283,-108,No,No,-1.0
2025-10-11,Montel Jackson,Deiveson Figueiredo,Yes,27.4,78.1,1.4,0.563,265,No,No,-1.0
2025-10-04,Alex Pereira,Magomed Ankalaev,Yes,32.8,64.8,32.0,0.2965,205,Yes,Yes,2.05
2025-10-04,Jiri Prochazka,Khalil Rountree Jr.,No,66.0,70.7,4.8,0.4149,-194,Yes,Yes,0.52
2025-10-04,Jakub Wiklacz,Patchy Mix,Yes,26.3,71.8,45.5,0.4362,280,Yes,Yes,2.8
2025-09-27,Neil Magny,Jake Matthews,Yes,27.8,56.4,28.6,0.1279,260,Yes,Yes,2.6
2025-09-27,Charlie Campbell,Tom Nolan,No,61.2,65.5,22.7,0.3092,-158,No,No,-1.0
2025-09-27,Navajo Stirling,Rodolfo Bellato,No,73.0,78.1,5.2,0.5629,-270,Yes,Yes,0.37
2025-09-27,Cam Rowston,Andre Petroski,Yes,40.7,59.3,18.6,0.1856,146,Yes,Yes,1.46
2025-09-27,Rolando Bedoya,Jamie Mullarkey,No,57.3,51.6,4.9,0.0319,-134,No,No,-1.0
2025-09-27,Colby Thicknesse,Josias Musasa,Yes,42.7,50.9,8.2,0.0187,134,Yes,Yes,1.34
2025-09-27,Luana Carolina,Michelle Montague,No,67.7,66.6,30.4,0.3325,-210,No,No,-1.0
2025-09-13,David Martinez,Rob Font,Yes,48.1,64.6,16.5,0.2921,108,Yes,Yes,1.08
2025-09-13,Jared Gordon,Rafa Garcia,No,56.5,53.7,10.3,0.0748,-130,No,No,-1.0
2025-09-06,Axel Sola,Rhys McKee,No,57.6,67.9,10.3,0.3583,-136,Yes,Yes,0.74
2025-09-06,William Gomis,Robert Ruchala,No,73.0,80.9,7.9,0.618,-270,Yes,Yes,0.37
2025-09-06,Kaue Fernandes,Harry Hardwick,No,67.7,87.5,19.7,0.7496,-210,Yes,Yes,0.48
2025-09-06,Trey Waters,Sam Patterson,No,66.0,51.2,13.0,0.0233,-194,No,No,-1.0
2025-09-06,Andreas Gustafsson,Rinat Fakhretdinov,Yes,47.2,70.0,13.1,0.4009,112,No,No,-1.0
2025-08-16,Carlos Prates,Geoff Neal,No,66.7,69.1,2.4,0.3816,-200,Yes,Yes,0.5
2025-08-16,Drakkar Klose,Edson Barboza,Yes,51.0,53.9,2.9,0.0777,-104,Yes,Yes,0.96
2025-08-16,Karine Silva,Dione Barbosa,No,66.7,67.6,0.9,0.3516,-200,Yes,Yes,0.5
2025-08-09,Iasmin Lucindo,Angela Hill,No,63.2,76.5,13.2,0.5293,-172,Yes,Yes,0.58
2025-08-09,Christian Rodriguez,Andre Fili,Yes,32.8,73.1,1.6,0.4611,205,No,No,-1.0
2025-08-02,Danny Silva,Kevin Vallejos,No,78.9,51.0,26.0,0.0192,-375,No,No,-1.0
2025-08-02,Nick Klein,Andrey Pulyaev,No,55.8,67.6,19.5,0.3514,-126,No,No,-1.0
2025-07-19,Max Holloway,Dustin Poirier,No,55.0,69.3,14.4,0.3867,-122,Yes,Yes,0.82
2025-06-28,Alexandre Pantoja,Kai Kara-France,No,71.4,76.9,5.4,0.5375,-250,Yes,Yes,0.4
2025-06-28,Renato Moicano,Beneil Dariush,No,52.8,63.9,12.9,0.2773,-112,No,No,-1.0
2025-06-28,Felipe Lima,Payton Talbott,Yes,40.7,65.4,1.9,0.3089,146,No,No,-1.0
2025-06-21,Ignacio Bahamondes,Rafael Fiziev,Yes,44.6,71.4,12.3,0.427,124,No,No,-1.0
2025-06-21,Curtis Blaydes,Rizvan Kuniev,No,70.6,70.9,0.3,0.4178,-240,Yes,Yes,0.42
2025-06-21,Myktybek Orolbai,Tofiq Musayev,No,65.0,83.1,18.1,0.6619,-186,Yes,Yes,0.54
