Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-11-22,Ian Machado Garry,Belal Muhammad,No,74.4,79.1,4.8,0.5825,-290,Yes,Yes,0.34
2025-11-22,Shamil Gaziev,Waldo Cortes Acosta,No,59.7,52.7,8.4,0.0539,-148,No,No,-1.0
2025-11-22,Bogdan Grad,Luke Riley,No,71.4,67.7,34.9,0.3542,-250,No,No,-1.0
2025-11-22,Ismail Naurdiev,Ryan Loder,No,55.4,70.5,15.2,0.4103,-124,Yes,Yes,0.81
2025-11-22,Nurullo Aliev,Shem Rock,No,76.2,79.5,3.3,0.5905,-320,Yes,Yes,0.31
2025-11-22,Marek Bujlo,Denzel Freeman,No,69.7,70.0,35.6,0.4007,-230,No,No,-1.0
2025-11-15,Zhang Weili,Valentina Shevchenko,No,58.7,67.5,22.0,0.3501,-142,No,No,-1.0
2025-11-15,Michael Morales,Sean Brady,Yes,43.9,78.9,35.1,0.5786,128,Yes,Yes,1.28
2025-11-15,Carlos Prates,Leon Edwards,No,60.6,72.5,11.9,0.4503,-154,Yes,Yes,0.65
2025-11-15,Benoit Saint Denis,Beneil Dariush,No,65.5,69.5,3.9,0.3891,-190,Yes,Yes,0.53
2025-11-08,Randy Brown,Gabriel Bonfim,No,62.1,61.2,19.2,0.2248,-164,No,No,-1.0
2025-11-08,Ismael Bonfim,Chris Padilla,No,54.1,54.8,4.8,0.0957,-118,No,No,-1.0
2025-11-01,Steve Garcia,David Onama,No,58.0,64.4,6.4,0.2885,-138,Yes,Yes,0.72
2025-11-01,Waldo Cortes Acosta,Ante Delija,Yes,47.6,55.6,7.9,0.1114,110,Yes,Yes,1.1
2025-11-01,Norma Dumont,Ketlen Vieira,No,63.5,73.2,9.7,0.4631,-174,Yes,Yes,0.57
2025-11-01,Seokhyeon Ko,Phil Rowe,No,64.3,69.1,4.8,0.3821,-180,Yes,Yes,0.56
2025-10-25,Virna Jandiroba,Mackenzie Dern,No,57.3,51.5,4.8,0.0297,-134,No,No,-1.0
2025-10-25,Jailton Almeida,Alexander Volkov,Yes,37.6,74.7,8.2,0.4937,166,No,No,-1.0
2025-10-25,Azamat Murzakanov,Aleksandar Rakic,Yes,50.0,63.4,13.4,0.2682,100,Yes,Yes,1.0
2025-10-25,Quillan Salkilld,Nasrat Haqparast,No,54.5,76.0,21.4,0.5191,-120,Yes,Yes,0.83
2025-10-25,JunYong Park,Ikram Aliskerov,No,69.7,51.5,17.0,0.0305,-230,No,No,-1.0
2025-10-25,Ludovit Klein,Mateusz Rebecki,No,55.8,60.9,5.1,0.2171,-126,Yes,Yes,0.79
2025-10-25,Nathaniel Wood,Jose Delgado,Yes,42.4,50.2,7.8,0.0044,136,Yes,Yes,1.36
2025-10-18,Kevin Holland,Mike Malott,Yes,51.5,60.5,8.1,0.2101,-106,No,No,-1.0
2025-10-18,Matt Frevola,Kyle Nelson,No,56.9,51.6,4.4,0.0321,-132,No,No,-1.0
2025-10-18,Aoriqileng,Cody Gibson,Yes,38.5,54.8,16.3,0.0958,160,Yes,Yes,1.6
2025-10-18,Melissa Croden,Tainara Lisboa,No,56.9,64.6,7.7,0.2926,-132,Yes,Yes,0.76
2025-10-11,Mateusz Gamrot,Charles Oliveira,No,51.9,66.2,14.3,0.3242,-108,No,No,-1.0
2025-10-11,Montel Jackson,Deiveson Figueiredo,Yes,27.4,77.7,1.0,0.5544,265,No,No,-1.0
2025-10-04,Alex Pereira,Magomed Ankalaev,Yes,32.8,66.4,33.6,0.3271,205,Yes,Yes,2.05
2025-10-04,Jiri Prochazka,Khalil Rountree Jr.,No,66.0,66.3,0.3,0.326,-194,Yes,Yes,0.52
2025-10-04,Youssef Zalal,Josh Emmett,No,82.1,84.9,2.8,0.6986,-460,Yes,Yes,0.22
2025-10-04,Daniel Santos,JooSang Yoo,No,57.3,61.7,4.5,0.2347,-134,Yes,Yes,0.75
2025-10-04,Jakub Wiklacz,Patchy Mix,Yes,26.3,62.5,36.2,0.25,280,Yes,Yes,2.8
2025-09-27,Jimmy Crute,Ivan Erslan,No,70.1,75.2,5.0,0.5034,-235,Yes,Yes,0.43
2025-09-27,Charlie Campbell,Tom Nolan,No,61.2,58.7,15.9,0.1733,-158,No,No,-1.0
2025-09-27,Navajo Stirling,Rodolfo Bellato,No,73.0,73.4,0.4,0.4672,-270,Yes,Yes,0.37
2025-09-27,Cam Rowston,Andre Petroski,Yes,40.7,53.6,13.0,0.0728,146,Yes,Yes,1.46
2025-09-27,Rolando Bedoya,Jamie Mullarkey,No,57.3,54.2,7.5,0.0847,-134,No,No,-1.0
2025-09-27,Colby Thicknesse,Josias Musasa,Yes,42.7,54.6,11.8,0.0914,134,Yes,Yes,1.34
2025-09-27,Luana Carolina,Michelle Montague,No,67.7,58.6,22.4,0.1727,-210,No,No,-1.0
2025-09-13,David Martinez,Rob Font,Yes,48.1,70.8,22.7,0.4154,108,Yes,Yes,1.08
2025-09-13,Jared Gordon,Rafa Garcia,No,56.5,54.6,11.1,0.0914,-130,No,No,-1.0
2025-09-13,Dustin Stoltzfus,Kelvin Gastelum,No,56.5,53.0,9.5,0.0604,-130,No,No,-1.0
2025-09-06,Caio Borralho,Nassourdine Imavov,Yes,47.2,63.2,6.3,0.2647,112,No,No,-1.0
2025-09-06,William Gomis,Robert Ruchala,No,73.0,75.2,2.2,0.503,-270,Yes,Yes,0.37
2025-09-06,Marcin Tybura,Ante Delija,Yes,50.5,60.0,6.3,0.2001,-102,No,No,-1.0
2025-09-06,Kaue Fernandes,Harry Hardwick,No,67.7,91.0,23.2,0.8191,-210,Yes,Yes,0.48
2025-09-06,Brad Tavares,Robert Bryczek,Yes,37.3,74.7,8.0,0.4941,168,No,No,-1.0
