Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-11-22,Ian Machado Garry,Belal Muhammad,No,74.4,75.8,1.4,0.5157,-290,Yes,Yes,0.34
2025-11-22,Myktybek Orolbai,Jack Hermansson,No,66.4,68.4,1.9,0.3677,-198,Yes,Yes,0.51
2025-11-22,Aleksandre Topuria,Bekzat Almakhan,No,58.0,58.4,0.4,0.1674,-138,Yes,Yes,0.72
2025-11-22,Ismail Naurdiev,Ryan Loder,No,55.4,72.3,17.0,0.447,-124,Yes,Yes,0.81
2025-11-22,Nurullo Aliev,Shem Rock,No,76.2,81.3,5.2,0.6269,-320,Yes,Yes,0.31
2025-11-22,Marek Bujlo,Denzel Freeman,No,69.7,64.0,29.5,0.2795,-230,No,No,-1.0
2025-11-15,Zhang Weili,Valentina Shevchenko,No,58.7,56.0,10.6,0.1203,-142,No,No,-1.0
2025-11-15,Michael Morales,Sean Brady,Yes,43.9,75.1,31.3,0.5023,128,Yes,Yes,1.28
2025-11-08,Muslim Salikhov,Uros Medic,No,56.5,56.0,8.4,0.1202,-130,No,No,-1.0
2025-11-08,Ismael Bonfim,Chris Padilla,No,54.1,54.0,4.0,0.0791,-118,No,No,-1.0
2025-11-01,Steve Garcia,David Onama,No,58.0,72.9,14.9,0.4584,-138,Yes,Yes,0.72
2025-11-01,Waldo Cortes Acosta,Ante Delija,Yes,47.6,54.8,7.2,0.0966,110,Yes,Yes,1.1
2025-11-01,Themba Gorimbo,Jeremiah Wells,Yes,43.1,66.9,4.5,0.3385,132,No,No,-1.0
2025-11-01,Yadier del Valle,Isaac Dulgarian,Yes,44.6,56.9,12.2,0.1379,124,Yes,Yes,1.24
2025-11-01,Norma Dumont,Ketlen Vieira,No,63.5,65.5,1.9,0.309,-174,Yes,Yes,0.57
2025-11-01,Seokhyeon Ko,Phil Rowe,No,64.3,81.3,17.0,0.6251,-180,Yes,Yes,0.56
2025-11-01,Ariane Carnelossi,Talita Alencar,No,69.2,51.7,16.9,0.0332,-225,No,No,-1.0
2025-10-25,Virna Jandiroba,Mackenzie Dern,No,57.3,58.7,11.9,0.1732,-134,No,No,-1.0
2025-10-25,Jailton Almeida,Alexander Volkov,Yes,37.6,67.9,1.4,0.3577,166,No,No,-1.0
2025-10-25,Azamat Murzakanov,Aleksandar Rakic,Yes,50.0,61.3,11.3,0.2258,100,Yes,Yes,1.0
2025-10-25,Quillan Salkilld,Nasrat Haqparast,No,54.5,67.7,13.2,0.355,-120,Yes,Yes,0.83
2025-10-25,JunYong Park,Ikram Aliskerov,No,69.7,57.3,22.8,0.1453,-230,No,No,-1.0
2025-10-18,Kevin Holland,Mike Malott,Yes,51.5,58.1,5.7,0.1617,-106,No,No,-1.0
