Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-11-22,Ian Machado Garry,Belal Muhammad,No,74.4,85.2,10.8,0.7033,-290,Yes,Yes,0.34
2025-11-22,Waldo Cortes Acosta,Shamil Gaziev,No,59.7,65.8,6.1,0.3157,-148,Yes,Yes,0.68
2025-11-22,Nicolas Dalby,Saygid Izagakhmaev,Yes,27.0,75.4,48.4,0.5084,270,Yes,Yes,2.7
2025-11-22,Asu Almabayev,Alex Perez,No,67.2,72.1,4.9,0.4427,-205,Yes,Yes,0.49
2025-11-22,Aleksandre Topuria,Bekzat Almakhan,No,58.0,72.6,14.6,0.4511,-138,Yes,Yes,0.72
2025-11-22,Ismail Naurdiev,Ryan Loder,No,55.4,78.8,23.4,0.5759,-124,Yes,Yes,0.81
2025-11-22,Nurullo Aliev,Shem Rock,No,76.2,87.2,11.0,0.7438,-320,Yes,Yes,0.31
2025-11-22,Marek Bujlo,Denzel Freeman,No,69.7,52.6,18.1,0.0514,-230,No,No,-1.0
2025-11-15,Valentina Shevchenko,Zhang Weili,No,58.7,66.4,7.7,0.3283,-142,Yes,Yes,0.7
2025-11-15,Michael Morales,Sean Brady,Yes,43.9,80.1,36.2,0.6012,128,Yes,Yes,1.28
2025-11-15,Carlos Prates,Leon Edwards,No,60.6,78.4,17.8,0.5688,-154,Yes,Yes,0.65
2025-11-15,Benoit Saint Denis,Beneil Dariush,No,65.5,80.5,15.0,0.61,-190,Yes,Yes,0.53
2025-11-15,Ethyn Ewing,Malcolm Wellmaker,Yes,23.3,54.5,31.2,0.0891,330,Yes,Yes,3.3
2025-11-01,Steve Garcia,David Onama,No,58.0,76.5,18.5,0.5297,-138,Yes,Yes,0.72
2025-11-01,Waldo Cortes Acosta,Ante Delija,Yes,47.6,68.4,20.8,0.3683,110,Yes,Yes,1.1
2025-11-01,Jeremiah Wells,Themba Gorimbo,Yes,43.1,59.9,16.8,0.1975,132,Yes,Yes,1.32
2025-11-01,Yadier del Valle,Isaac Dulgarian,Yes,44.6,62.1,17.5,0.2425,124,Yes,Yes,1.24
2025-11-01,Donte Johnson,Sedriques Dumas,No,77.8,84.0,6.2,0.6803,-350,Yes,Yes,0.29
2025-11-01,Norma Dumont,Ketlen Vieira,No,63.5,69.9,6.4,0.3983,-174,Yes,Yes,0.57
2025-11-01,Seokhyeon Ko,Phil Rowe,No,64.3,79.7,15.4,0.594,-180,Yes,Yes,0.56
2025-10-25,Azamat Murzakanov,Aleksandar Rakic,Yes,50.0,74.3,24.3,0.487,100,Yes,Yes,1.0
2025-10-25,Quillan Salkilld,Nasrat Haqparast,No,54.5,75.4,20.8,0.5075,-120,Yes,Yes,0.83
2025-10-25,Ludovit Klein,Mateusz Rebecki,No,55.8,59.7,4.0,0.1942,-126,Yes,Yes,0.79
2025-10-25,Valter Walker,Louie Sutherland,No,80.2,88.4,8.2,0.7674,-405,Yes,Yes,0.25
2025-10-25,Nathaniel Wood,Jose Delgado,Yes,42.4,61.6,19.2,0.231,136,Yes,Yes,1.36
