Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-11-22,Shamil Gaziev,Waldo Cortes Acosta,No,59.7,52.8,8.6,0.0563,-148,No,No,-1.0
2025-11-22,Aleksandre Topuria,Bekzat Almakhan,No,58.0,61.8,3.9,0.2368,-138,Yes,Yes,0.72
2025-11-22,Ismail Naurdiev,Ryan Loder,No,55.4,69.5,14.2,0.3907,-124,Yes,Yes,0.81
2025-11-22,Nurullo Aliev,Shem Rock,No,76.2,76.8,0.6,0.5365,-320,Yes,Yes,0.31
2025-11-22,Denzel Freeman,Marek Bujlo,No,69.7,76.2,6.5,0.5235,-230,Yes,Yes,0.43
2025-11-15,Zhang Weili,Valentina Shevchenko,No,58.7,59.5,14.1,0.1908,-142,No,No,-1.0
2025-11-15,Michael Morales,Sean Brady,Yes,43.9,72.0,28.2,0.4403,128,Yes,Yes,1.28
2025-11-08,Ismael Bonfim,Chris Padilla,No,54.1,51.2,1.2,0.0242,-118,No,No,-1.0
2025-11-08,Christian Leroy Duncan,Marco Tulio,Yes,41.7,57.5,15.8,0.1496,140,Yes,Yes,1.4
2025-11-01,Steve Garcia,David Onama,No,58.0,67.1,9.2,0.3428,-138,Yes,Yes,0.72
2025-11-01,Waldo Cortes Acosta,Ante Delija,Yes,47.6,56.4,8.8,0.1274,110,Yes,Yes,1.1
2025-11-01,Themba Gorimbo,Jeremiah Wells,Yes,43.1,68.4,6.0,0.3689,132,No,No,-1.0
2025-11-01,Yadier del Valle,Isaac Dulgarian,Yes,44.6,55.4,10.8,0.1079,124,Yes,Yes,1.24
2025-11-01,Norma Dumont,Ketlen Vieira,No,63.5,66.0,2.5,0.3195,-174,Yes,Yes,0.57
2025-11-01,Seokhyeon Ko,Phil Rowe,No,64.3,76.9,12.6,0.5384,-180,Yes,Yes,0.56
2025-11-01,Ariane Carnelossi,Talita Alencar,No,69.2,51.4,16.7,0.0285,-225,No,No,-1.0
2025-10-25,Virna Jandiroba,Mackenzie Dern,No,57.3,62.0,15.3,0.2402,-134,No,No,-1.0
2025-10-25,Azamat Murzakanov,Aleksandar Rakic,Yes,50.0,64.4,14.4,0.2872,100,Yes,Yes,1.0
2025-10-25,Quillan Salkilld,Nasrat Haqparast,No,54.5,84.9,30.4,0.6985,-120,Yes,Yes,0.83
2025-10-25,Mateusz Rebecki,Ludovit Klein,No,55.8,53.4,5.3,0.0684,-126,No,No,-1.0
2025-10-25,Valter Walker,Louie Sutherland,No,80.2,81.5,1.3,0.6291,-405,Yes,Yes,0.25
2025-10-25,Mitch Raposo,Azat Maksum,Yes,20.6,55.3,34.7,0.1054,385,Yes,Yes,3.85
2025-10-18,Kevin Holland,Mike Malott,Yes,51.5,55.6,3.2,0.1124,-106,No,No,-1.0
2025-10-18,Marlon Vera,Aiemann Zahabi,No,56.9,53.3,6.1,0.0658,-132,No,No,-1.0
2025-10-18,Davey Grant,Charles Jourdain,No,65.5,52.5,14.0,0.0496,-190,No,No,-1.0
2025-10-18,Kyle Nelson,Matt Frevola,No,56.9,57.4,0.5,0.1489,-132,Yes,Yes,0.76
2025-10-18,Melissa Croden,Tainara Lisboa,No,56.9,64.2,7.3,0.2847,-132,Yes,Yes,0.76
2025-10-11,Mateusz Gamrot,Charles Oliveira,No,51.9,57.0,5.1,0.1403,-108,No,No,-1.0
2025-10-04,Alex Pereira,Magomed Ankalaev,Yes,32.8,59.7,26.9,0.1937,205,Yes,Yes,2.05
