Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-11-22,Bogdan Grad,Luke Riley,No,71.4,53.0,20.2,0.0596,-250,No,No,-1.0
2025-11-22,Aleksandre Topuria,Bekzat Almakhan,No,58.0,58.7,0.7,0.1736,-138,Yes,Yes,0.72
2025-11-22,Ismail Naurdiev,Ryan Loder,No,55.4,64.1,8.7,0.2817,-124,Yes,Yes,0.81
2025-11-22,Marek Bujlo,Denzel Freeman,No,69.7,57.4,22.9,0.1486,-230,No,No,-1.0
2025-11-15,Zhang Weili,Valentina Shevchenko,No,58.7,57.8,12.3,0.1558,-142,No,No,-1.0
2025-11-15,Michael Morales,Sean Brady,Yes,43.9,65.4,21.5,0.3076,128,Yes,Yes,1.28
2025-11-08,Muslim Salikhov,Uros Medic,No,56.5,53.1,5.5,0.0625,-130,No,No,-1.0
2025-11-08,Ismael Bonfim,Chris Padilla,No,54.1,50.4,0.4,0.0074,-118,No,No,-1.0
2025-11-08,Christian Leroy Duncan,Marco Tulio,Yes,41.7,58.7,17.0,0.1741,140,Yes,Yes,1.4
2025-11-01,Steve Garcia,David Onama,No,58.0,66.8,8.8,0.335,-138,Yes,Yes,0.72
2025-11-01,Waldo Cortes Acosta,Ante Delija,Yes,47.6,52.2,4.6,0.0448,110,Yes,Yes,1.1
2025-11-01,Themba Gorimbo,Jeremiah Wells,Yes,43.1,63.2,0.8,0.2632,132,No,No,-1.0
2025-11-01,Yadier del Valle,Isaac Dulgarian,Yes,44.6,56.3,11.6,0.1253,124,Yes,Yes,1.24
2025-11-01,Seokhyeon Ko,Phil Rowe,No,64.3,71.2,6.9,0.4236,-180,Yes,Yes,0.56
2025-10-25,Virna Jandiroba,Mackenzie Dern,No,57.3,53.1,6.4,0.0619,-134,No,No,-1.0
2025-10-25,Azamat Murzakanov,Aleksandar Rakic,Yes,50.0,58.7,8.7,0.1738,100,Yes,Yes,1.0
2025-10-25,Quillan Salkilld,Nasrat Haqparast,No,54.5,72.6,18.1,0.4524,-120,Yes,Yes,0.83
2025-10-25,JunYong Park,Ikram Aliskerov,No,69.7,52.8,18.4,0.0567,-230,No,No,-1.0
2025-10-25,Mateusz Rebecki,Ludovit Klein,No,55.8,51.2,3.1,0.0245,-126,No,No,-1.0
2025-10-25,Nathaniel Wood,Jose Delgado,Yes,42.4,50.9,8.5,0.0173,136,Yes,Yes,1.36
2025-10-25,Mitch Raposo,Azat Maksum,Yes,20.6,51.3,30.7,0.0254,385,Yes,Yes,3.85
2025-10-18,Kyle Nelson,Matt Frevola,No,56.9,58.6,1.7,0.1715,-132,Yes,Yes,0.76
2025-10-18,Yousri Belgaroui,Azamat Bekoev,Yes,29.4,50.6,21.2,0.0123,240,Yes,Yes,2.4
2025-10-18,Melissa Croden,Tainara Lisboa,No,56.9,57.4,0.5,0.1483,-132,Yes,Yes,0.76
2025-10-04,Alex Pereira,Magomed Ankalaev,Yes,32.8,54.3,21.5,0.0856,205,Yes,Yes,2.05
2025-10-04,Jakub Wiklacz,Patchy Mix,Yes,26.3,63.9,37.6,0.2775,280,Yes,Yes,2.8
2025-09-27,Neil Magny,Jake Matthews,Yes,27.8,50.3,22.5,0.0054,260,Yes,Yes,2.6
2025-09-27,Charlie Campbell,Tom Nolan,No,61.2,59.4,16.7,0.1881,-158,No,No,-1.0
2025-09-27,Cam Rowston,Andre Petroski,Yes,40.7,55.8,15.1,0.1155,146,Yes,Yes,1.46
2025-09-27,Rolando Bedoya,Jamie Mullarkey,No,57.3,51.3,4.6,0.0261,-134,No,No,-1.0
2025-09-27,Colby Thicknesse,Josias Musasa,Yes,42.7,52.6,9.9,0.052,134,Yes,Yes,1.34
2025-09-27,Luana Carolina,Michelle Montague,No,67.7,58.9,22.6,0.1773,-210,No,No,-1.0
2025-09-13,David Martinez,Rob Font,Yes,48.1,59.6,11.6,0.1927,108,Yes,Yes,1.08
2025-09-13,Jared Gordon,Rafa Garcia,No,56.5,55.0,11.6,0.1007,-130,No,No,-1.0
2025-09-06,Bolaji Oki,Mason Jones,No,59.7,51.3,7.0,0.025,-148,No,No,-1.0
2025-09-06,Axel Sola,Rhys McKee,No,57.6,63.8,6.2,0.2763,-136,Yes,Yes,0.74
2025-09-06,William Gomis,Robert Ruchala,No,73.0,76.0,3.1,0.5209,-270,Yes,Yes,0.37
2025-09-06,Ante Delija,Marcin Tybura,Yes,50.5,52.2,1.7,0.0431,-102,Yes,Yes,0.98
2025-09-06,Kaue Fernandes,Harry Hardwick,No,67.7,86.2,18.5,0.7243,-210,Yes,Yes,0.48
2025-09-06,Trey Waters,Sam Patterson,No,66.0,50.3,12.2,0.0066,-194,No,No,-1.0
2025-09-06,Andreas Gustafsson,Rinat Fakhretdinov,Yes,47.2,63.4,6.5,0.2678,112,No,No,-1.0
2025-08-16,Drakkar Klose,Edson Barboza,Yes,51.0,52.3,1.4,0.0467,-104,Yes,Yes,0.96
2025-08-09,Iasmin Lucindo,Angela Hill,No,63.2,70.1,6.9,0.4025,-172,Yes,Yes,0.58
2025-08-02,Danny Silva,Kevin Vallejos,No,78.9,50.8,25.8,0.0169,-375,No,No,-1.0
2025-08-02,Nick Klein,Andrey Pulyaev,No,55.8,57.5,9.5,0.1508,-126,No,No,-1.0
2025-07-19,Max Holloway,Dustin Poirier,No,55.0,61.8,6.9,0.2365,-122,Yes,Yes,0.82
2025-06-28,Brandon Royval,Joshua Van,No,54.5,50.6,1.1,0.0124,-120,No,No,-1.0
2025-06-28,Renato Moicano,Beneil Dariush,No,52.8,58.5,7.5,0.1706,-112,No,No,-1.0
2025-06-21,Ignacio Bahamondes,Rafael Fiziev,Yes,44.6,66.8,7.8,0.3369,124,No,No,-1.0
2025-06-21,Myktybek Orolbai,Tofiq Musayev,No,65.0,75.8,10.8,0.5159,-186,Yes,Yes,0.54
2025-06-21,Bogdan Grad,Muhammad Naimov,No,71.4,61.5,28.7,0.23,-250,No,No,-1.0
2025-06-21,Daria Zhelezniakova,Melissa Mullins,Yes,32.8,56.7,23.9,0.1336,205,Yes,Yes,2.05
2025-06-14,Miranda Maverick,Rose Namajunas,No,71.0,58.2,24.9,0.1638,-245,No,No,-1.0
2025-06-14,Andre Petroski,Edmen Shahbazyan,No,62.7,55.5,14.2,0.1094,-168,No,No,-1.0
2025-06-14,Cody Durden,Jose Ochoa,No,67.2,55.2,18.4,0.1043,-205,No,No,-1.0
2025-06-07,Ariane da Silva,Wang Cong,No,86.7,51.7,33.9,0.0349,-650,No,No,-1.0
2025-06-07,MarQuel Mederos,Mark Choinski,No,60.6,80.4,19.8,0.6084,-154,Yes,Yes,0.65
2025-05-17,Michael Morales,Gilbert Burns,No,82.8,86.3,3.5,0.7256,-480,Yes,Yes,0.21
2025-05-17,Mairon Santos,Sodiq Yusuff,No,59.7,59.7,0.1,0.1947,-148,Yes,Yes,0.68
2025-05-10,Jack Della Maddalena,Belal Muhammad,Yes,37.6,52.8,15.2,0.0568,166,Yes,Yes,1.66
2025-05-10,Valentina Shevchenko,Manon Fiorot,Yes,46.3,54.1,7.8,0.082,116,Yes,Yes,1.16
2025-05-10,Aiemann Zahabi,Jose Aldo,Yes,38.5,53.6,15.2,0.0723,160,Yes,Yes,1.6
2025-05-10,Jessica Andrade,Jasmine Jasudavicius,No,73.3,51.1,20.3,0.022,-275,No,No,-1.0
2025-05-10,Ion Cutelaba,Modestas Bukauskas,Yes,51.5,56.1,3.7,0.1218,-106,No,No,-1.0
2025-05-10,Bruno Silva,Marc-Andre Barriault,No,61.8,58.1,15.7,0.1623,-162,No,No,-1.0
2025-05-10,Brad Katona,Bekzat Almakhan,No,58.7,59.6,14.1,0.1918,-142,No,No,-1.0
2025-05-03,Reinier de Ridder,Bo Nickal,Yes,25.3,51.2,25.8,0.0232,295,Yes,Yes,2.95
2025-05-03,Daniel Rodriguez,Santiago Ponzinibbio,Yes,45.9,54.6,8.7,0.0923,118,Yes,Yes,1.18
2025-05-03,Montel Jackson,Daniel Marcos,No,69.2,72.3,3.1,0.4467,-225,Yes,Yes,0.44
2025-05-03,Cameron Smotherman,Serhiy Sidey,No,58.0,61.2,15.3,0.2238,-138,No,No,-1.0
2025-05-03,Yana Santos,Miesha Tate,Yes,43.9,55.0,11.2,0.1007,128,Yes,Yes,1.28
2025-05-03,Gaston Bolanos,Quang Le,Yes,48.1,57.7,1.9,0.1536,108,No,No,-1.0
2025-04-26,Abus Magomedov,Michel Pereira,Yes,45.5,51.1,5.6,0.0213,120,Yes,Yes,1.2
2025-04-26,Andre Muniz,Ikram Aliskerov,No,81.1,50.2,27.5,0.0039,-430,No,No,-1.0
2025-04-26,Jimmy Flick,Matt Schnell,No,62.1,52.2,10.1,0.0431,-164,No,No,-1.0
2025-04-26,John Castaneda,Chris Gutierrez,No,59.7,51.7,7.4,0.0335,-148,No,No,-1.0
2025-04-05,Gerald Meerschaert,Brad Tavares,No,62.4,54.4,12.8,0.0889,-166,No,No,-1.0
2025-04-05,Rhys McKee,Daniel Frunza,Yes,49.0,59.3,10.3,0.186,104,Yes,Yes,1.04
2025-03-29,Manuel Torres,Drew Dober,No,55.4,65.0,9.7,0.3005,-124,Yes,Yes,0.81
2025-03-29,CJ Vergara,Edgar Chairez,No,73.0,56.1,24.8,0.1216,-270,No,No,-1.0
2025-03-22,Leon Edwards,Sean Brady,No,56.9,50.7,3.6,0.0148,-132,No,No,-1.0
2025-03-22,Kevin Holland,Gunnar Nelson,Yes,48.1,59.8,11.7,0.1963,108,Yes,Yes,1.08
2025-03-22,Chris Duncan,Jordan Vucenic,Yes,27.4,55.1,27.7,0.1023,265,Yes,Yes,2.65
2025-03-22,Nathaniel Wood,Morgan Charriere,Yes,50.5,53.9,3.4,0.0773,-102,Yes,Yes,0.98
