Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-11-22,Ian Machado Garry,Belal Muhammad,No,74.4,74.4,0.1,0.4886,-290,Yes,Yes,0.34
2025-11-22,Bogdan Grad,Luke Riley,No,71.4,53.7,20.9,0.0745,-250,No,No,-1.0
2025-11-22,Aleksandre Topuria,Bekzat Almakhan,No,58.0,61.9,3.9,0.2382,-138,Yes,Yes,0.72
2025-11-22,Ismail Naurdiev,Ryan Loder,No,55.4,69.8,14.4,0.3958,-124,Yes,Yes,0.81
2025-11-22,Nurullo Aliev,Shem Rock,No,76.2,80.6,4.4,0.6111,-320,Yes,Yes,0.31
2025-11-22,Marek Bujlo,Denzel Freeman,No,69.7,64.7,30.2,0.2937,-230,No,No,-1.0
2025-11-15,Zhang Weili,Valentina Shevchenko,No,58.7,61.7,16.3,0.2347,-142,No,No,-1.0
2025-11-15,Michael Morales,Sean Brady,Yes,43.9,71.4,27.5,0.4278,128,Yes,Yes,1.28
2025-11-01,Steve Garcia,David Onama,No,58.0,73.9,15.9,0.4774,-138,Yes,Yes,0.72
2025-11-01,Waldo Cortes Acosta,Ante Delija,Yes,47.6,53.4,5.8,0.0683,110,Yes,Yes,1.1
2025-11-01,Themba Gorimbo,Jeremiah Wells,Yes,43.1,67.4,5.0,0.3478,132,No,No,-1.0
2025-11-01,Yadier del Valle,Isaac Dulgarian,Yes,44.6,57.0,12.4,0.1405,124,Yes,Yes,1.24
2025-11-01,Norma Dumont,Ketlen Vieira,No,63.5,66.7,3.2,0.3347,-174,Yes,Yes,0.57
2025-11-01,Seokhyeon Ko,Phil Rowe,No,64.3,77.2,12.9,0.5443,-180,Yes,Yes,0.56
2025-10-25,Virna Jandiroba,Mackenzie Dern,No,57.3,57.0,10.3,0.1403,-134,No,No,-1.0
2025-10-25,Azamat Murzakanov,Aleksandar Rakic,Yes,50.0,63.4,13.4,0.2687,100,Yes,Yes,1.0
2025-10-25,Quillan Salkilld,Nasrat Haqparast,No,54.5,78.6,24.0,0.5714,-120,Yes,Yes,0.83
2025-10-25,JunYong Park,Ikram Aliskerov,No,69.7,57.5,23.0,0.1505,-230,No,No,-1.0
2025-10-25,Mateusz Rebecki,Ludovit Klein,No,55.8,51.5,3.5,0.0307,-126,No,No,-1.0
2025-10-25,Nathaniel Wood,Jose Delgado,Yes,42.4,51.1,8.7,0.0216,136,Yes,Yes,1.36
2025-10-25,Mitch Raposo,Azat Maksum,Yes,20.6,54.2,33.6,0.0847,385,Yes,Yes,3.85
2025-10-18,Kevin Holland,Mike Malott,Yes,51.5,53.6,1.2,0.0715,-106,No,No,-1.0
2025-10-18,Kyle Nelson,Matt Frevola,No,56.9,61.8,4.9,0.2351,-132,Yes,Yes,0.76
2025-10-18,HyunSung Park,Bruno Silva,Yes,34.7,71.1,1.9,0.4218,188,No,No,-1.0
2025-10-18,Yousri Belgaroui,Azamat Bekoev,Yes,29.4,52.1,22.6,0.0411,240,Yes,Yes,2.4
2025-10-18,Melissa Croden,Tainara Lisboa,No,56.9,61.3,4.4,0.2256,-132,Yes,Yes,0.76
2025-10-04,Alex Pereira,Magomed Ankalaev,Yes,32.8,56.9,24.1,0.1378,205,Yes,Yes,2.05
2025-10-04,Jiri Prochazka,Khalil Rountree Jr.,No,66.0,71.2,5.2,0.4231,-194,Yes,Yes,0.52
2025-10-04,Jakub Wiklacz,Patchy Mix,Yes,26.3,70.1,43.8,0.4029,280,Yes,Yes,2.8
2025-09-06,Bolaji Oki,Mason Jones,No,59.7,51.6,7.3,0.0313,-148,No,No,-1.0
2025-09-06,Axel Sola,Rhys McKee,No,57.6,69.7,12.1,0.395,-136,Yes,Yes,0.74
2025-09-06,William Gomis,Robert Ruchala,No,73.0,81.1,8.2,0.6225,-270,Yes,Yes,0.37
2025-09-06,Ante Delija,Marcin Tybura,Yes,50.5,52.7,2.2,0.0539,-102,Yes,Yes,0.98
