event_date,f1_name,f2_name,weight_class,model_prob_f1,model_prob_f2,base_confidence,adjusted_confidence,prediction_correct,fighter1_odds,fighter2_odds,is_favorite,f1_top1_striking_volume_control,f1_top2_striking_differential,f1_top3_age,f2_top1_striking_volume_control,f2_top2_striking_differential,f2_top3_days_since_last_fight
2025-01-18,Payton Talbott,Raoni Barcelos,Bantamweight,0.8590899929404259,0.14091000705957413,0.7181799858808517,0.6104529879987239,False,-1200,750,True,3.403669724770642,2.911111111111111,27.0,1.0478087649402392,0.2181818181818187,329.0
2025-08-09,Andre Fili,Christian Rodriguez,Featherweight,0.2418607473373413,0.7581392526626587,0.5162785053253174,0.38306609745107384,False,205,-250,False,0.9403651115618664,-0.2041666666666661,35.0,1.160220994475138,0.4833333333333334,133.0
2025-01-18,Muin Gafurov,Rinya Nakamura,Bantamweight,0.3156921714544296,0.6843078285455704,0.36861565709114075,0.36861565709114075,False,530,-750,False,1.656716417910448,0.977777777777778,29.0,2.7435897435897436,1.511111111111111,336.0
2025-10-18,Bruno Silva,HyunSung Park,Flyweight,0.2891147583723068,0.7108852416276932,0.42177048325538635,0.3482464439292152,False,188,-225,False,0.8374512353706112,-0.625,36.0,1.411504424778761,0.7749999999999999,77.0
2025-06-21,Bogdan Grad,Muhammad Naimov,Featherweight,0.6644654870033264,0.3355345129966736,0.32893097400665283,0.32893097400665283,False,205,-250,False,1.352941176470588,1.1999999999999995,30.0,0.8781869688385268,-0.286666666666667,140.0
2025-08-02,Austin Bashi,John Yannis,Featherweight,0.879013005644083,0.12098699435591698,0.758026011288166,0.758026011288166,True,-1150,730,True,0.5227272727272728,-1.3999999999999997,24.0,0.0,-0.4,0.0
2025-08-09,Elijah Smith,Toshiomi Kazama,Bantamweight,0.8069644048810005,0.19303559511899948,0.613928809762001,0.613928809762001,True,-820,570,True,1.0,0.0,23.0,0.289855072463768,-3.2666666666666675,364.0
2025-10-04,Josh Emmett,Youssef Zalal,Featherweight,0.19427945464849472,0.8057205453515053,0.6114410907030106,0.5690464869380409,True,360,-460,False,0.8923643054277829,-0.4159999999999999,40.0,1.7303370786516856,1.181818181818182,231.0
2025-12-06,Antonio Trocoli,Mansur Abdul-Malik,Middleweight,0.22478049993515015,0.7752195000648499,0.5504390001296997,0.5504390001296997,True,980,-1800,False,0.2417582417582418,-2.3,34.0,1.9197530864197536,1.655555555555556,175.0
2025-11-22,Nurullo Aliev,Shem Rock,Lightweight,0.8055397197604179,0.19446028023958206,0.6110794395208359,0.5310861627509871,True,-320,260,True,1.5882352941176472,0.6666666666666667,24.0,0.8627450980392156,-0.4666666666666668,0.0
2025-10-25,Louie Sutherland,Valter Walker,Heavyweight,0.22893767803907394,0.7710623219609261,0.5421246439218521,0.5272310269679292,True,320,-405,False,0.6,-0.4,31.0,0.7894736842105263,-0.2666666666666666,105.0
2025-03-08,King Green,Mauricio Ruffy,Lightweight,0.2375221997499466,0.7624778002500534,0.5249556005001068,0.5249556005001068,True,400,-550,False,1.564481268011527,2.008974358974358,39.0,1.0757575757575757,0.333333333333333,112.0
2025-11-01,Donte Johnson,Sedriques Dumas,Middleweight,0.7596252411603928,0.24037475883960724,0.5192504823207855,0.5192504823207855,True,-350,280,True,2.0,0.5,26.0,0.5730550284629982,-1.0714285714285714,49.0
2025-11-22,Arman Tsarukyan,Dan Hooker,Lightweight,0.7564594522118568,0.24354054778814316,0.5129189044237137,0.5129189044237137,True,-750,530,True,2.4342955622576476,2.017575757575758,29.0,1.08447888027993,0.3072727272727271,462.0
2025-01-18,Jailton Almeida,Serghei Spivac,Heavyweight,0.7535632252693176,0.24643677473068237,0.5071264505386353,0.5071264505386353,True,-450,350,True,6.937931034482758,2.1525,34.0,0.8873096446700507,-0.3083333333333335,161.0
2025-03-22,Carlos Ulberg,Jan Blachowicz,Light Heavyweight,0.7492883503437042,0.2507116496562958,0.49857670068740845,0.49857670068740845,True,-330,265,True,1.8916408668730649,2.4,35.0,1.2201822744683664,0.5556666666666672,602.0
2025-10-04,Cory Sandhagen,Merab Dvalishvili,Bantamweight,0.2641754001379013,0.7358245998620987,0.4716491997241974,0.4716491997241974,True,330,-420,False,1.7132199861207498,1.827111111111112,33.0,1.7906462898177131,1.9084444444444448,119.0
2025-09-06,Brendson Ribeiro,Oumar Sy,Light Heavyweight,0.2668328583240509,0.7331671416759491,0.4663342833518982,0.4663342833518982,True,420,-560,False,0.6705202312138729,-1.1399999999999997,29.0,1.850746268656716,1.2666666666666662,84.0
2025-11-15,Angela Hill,Fatima Kline,Women's Strawweight,0.269602432847023,0.730397567152977,0.460795134305954,0.460795134305954,True,440,-590,False,1.1127413520811047,0.5269047619047624,40.0,1.795321637426901,1.5111111111111115,126.0
2025-11-22,Belal Muhammad,Ian Machado Garry,Welterweight,0.25568220019340515,0.7443177998065948,0.4886355996131897,0.42585775616237437,True,235,-290,False,1.1917176470588238,0.6790000000000007,37.0,1.6849765258215956,1.945333333333332,210.0
2025-01-18,Islam Makhachev,Renato Moicano,Lightweight,0.7110725045204163,0.28892749547958374,0.4221450090408325,0.4221450090408325,True,-1200,750,True,1.905422913196372,1.0191666666666663,34.0,1.182077780799565,0.5250980392156865,112.0
2025-06-21,Curtis Blaydes,Rizvan Kuniev,Heavyweight,0.7113878577947617,0.28861214220523834,0.4227757155895233,0.41579293432705516,True,-240,198,True,1.4863110930845669,0.8414035087719298,34.0,0.8035714285714286,-0.7333333333333334,0.0
2025-02-01,Kaan Ofli,Muhammad Naimov,Featherweight,0.2927646338939667,0.7072353661060333,0.41447073221206665,0.41447073221206665,True,310,-390,False,0.3870967741935484,-1.9,32.0,0.8453608247422679,-0.3750000000000004,224.0
2025-10-25,Mario Bautista,Umar Nurmagomedov,Bantamweight,0.2932526618242264,0.7067473381757736,0.41349467635154724,0.41349467635154724,True,460,-620,False,1.4004893964110932,1.3638888888888894,32.0,2.7756448710257957,2.8190476190476197,280.0
2025-06-07,Quillan Salkilld,Yanal Ashmouz,Lightweight,0.7023534923791885,0.29764650762081146,0.4047069847583771,0.4047069847583771,True,-420,330,True,11.999999999999998,1.2,25.0,0.8356164383561642,-0.5333333333333341,273.0
2025-10-04,Jakub Wiklacz,Patchy Mix,Bantamweight,0.7014673501253128,0.2985326498746872,0.4029347002506256,0.4029347002506256,True,280,-350,False,1.2432432432432432,0.6000000000000001,29.0,0.7052023121387283,-3.4000000000000004,119.0
2025-08-09,Joselyne Edwards,Priscila Cachoeira,Women's Bantamweight,0.6976126730442047,0.3023873269557953,0.3952253460884094,0.3952253460884094,True,-420,330,True,1.509803921568627,1.5599999999999987,30.0,0.6410810810810811,-2.012121212121212,147.0
2025-11-15,Islam Makhachev,Jack Della Maddalena,Welterweight,0.6967963427305222,0.30320365726947784,0.3935926854610443,0.3935926854610443,True,-320,260,True,1.7928655561164395,0.9239215686274512,34.0,1.6759530791788857,2.3049999999999997,189.0
2025-09-06,Robert Ruchala,William Gomis,Featherweight,0.18876279890537262,0.8112372010946274,0.6224744021892548,0.3914046813494054,True,220,-270,False,0.6938775510204082,-1.0,27.0,1.2318840579710144,0.6399999999999997,189.0
2025-12-06,Mairon Santos,Muhammad Naimov,Featherweight,0.6940633803606033,0.30593661963939667,0.38812676072120667,0.38812676072120667,True,-245,200,True,1.5537634408602148,1.144444444444444,25.0,0.8337349397590361,-0.3833333333333333,168.0
2025-10-25,Chris Barnett,Hamdy Abdelwahab,Heavyweight,0.31170907616615295,0.688290923833847,0.3765818476676941,0.3765818476676941,True,340,-430,False,0.5862068965517242,-2.32,39.0,0.7772277227722774,-0.9999999999999992,126.0
