date,fighter1,fighter2,fighter1_odds,fighter2_odds
"January 12, 2025",Amanda Ribas,Mackenzie Dern,-194,+162
"January 12, 2025",Carlston Harris,Santiago Ponzinibbio,+130,-154
"January 12, 2025",Abdul Razak Alhassan,Cesar Almeida,+215,-260
"January 12, 2025",Chris Curtis,Roman Kopylov,+198,-240
"January 12, 2025",Austin Bashi,Christian Rodriguez,-260,+215
"January 12, 2025",Punahele Soriano,Uros Medic,+198,-240
"January 18, 2025",Islam Makhachev,Renato Moicano,-1200,+750
"January 18, 2025",Arman Tsarukyan,Islam Makhachev,+275,-350
"January 18, 2025",Merab Dvalishvili,Umar Nurmagomedov,+220,-270
"January 18, 2025",Jailton Almeida,Serghei Spivac,-450,+350
"January 18, 2025",Beneil Dariush,Renato Moicano,+135,-165
"January 18, 2025",Kevin Holland,Reinier de Ridder,+116,-136
"January 18, 2025",Payton Talbott,Raoni Barcelos,-1200,+750
"January 18, 2025",Azamat Bekoev,Zachary Reese,-184,+154
"January 18, 2025",Billy Elekana,Bogdan Guskov,+330,-420
"January 18, 2025",Sedriques Dumas,Zachary Reese,+220,-275
"January 18, 2025",Diego Ferreira,Grant Dawson,+200,-245
"January 18, 2025",Ailin Perez,Karol Rosa,+205,-245
"January 18, 2025",Muin Gafurov,Rinya Nakamura,+530,-750
"January 18, 2025",Jamahal Hill,Jiri Prochazka,-120,+102
"February 1, 2025",Israel Adesanya,Nassourdine Imavov,-158,+134
"February 1, 2025",Michael Page,Shara Magomedov,+164,-196
"February 1, 2025",Jairzinho Rozenstruik,Sergei Pavlovich,+260,-320
"February 1, 2025",Said Nurmagomedov,Vinicius Oliveira,-225,+188
"February 1, 2025",Fares Ziam,Mike Davis,+122,-144
"February 1, 2025",Andre Muniz,Ikram Aliskerov,+475,-650
"February 1, 2025",Abdul-Kareem Al-Selwady,Jordan Leavitt,-250,+200
"February 1, 2025",Kaan Ofli,Muhammad Naimov,+310,-390
"February 1, 2025",Shamil Gaziev,Thomas Petersen,-340,+275
"February 1, 2025",Damir Hadzovic,Terrance McKinney,+430,-590
"February 1, 2025",Jasmine Jasudavicius,Mayra Bueno Silva,-250,+205
"February 1, 2025",Bogdan Grad,Lucas Alexander,+108,-126
"February 1, 2025",Hamdy Abdelwahab,Jamal Pogues,-148,+126
"February 1, 2025",Abdul-Kareem Al-Selwady,Bolaji Oki,+150,-185
"February 16, 2025",Gregory Rodrigues,Jared Cannonier,-240,+194
"February 16, 2025",Calvin Kattar,Youssef Zalal,+350,-450
"February 16, 2025",Dylan Budka,Edmen Shahbazyan,+520,-720
"February 16, 2025",Ismael Bonfim,Nazim Sadykhov,-245,+200
"February 16, 2025",Andre Petroski,Rodolfo Vieira,+220,-270
"February 23, 2025",Henry Cejudo,Song Yadong,+210,-255
"February 23, 2025",Anthony Hernandez,Brendan Allen,-335,+270
"February 23, 2025",Jean Matsumoto,Rob Font,-200,+168
"February 23, 2025",Jean Silva,Melsik Baghdasaryan,-490,+380
"February 23, 2025",Alonzo Menifield,Julius Walker,-235,+194
"February 23, 2025",Ibo Aslan,Ion Cutelaba,-215,+180
"February 23, 2025",Andre Fili,Melquizael Costa,+120,-142
"February 23, 2025",Mansur Abdul-Malik,Nick Klein,-1350,+810
"February 23, 2025",Javid Basharat,Ricky Simon,-260,+215
"February 23, 2025",Austin Vanderford,Nikolay Veretennikov,+102,-120
"March 2, 2025",Asu Almabaev,Manel Kape,+184,-220
"March 2, 2025",Cody Brundage,Julian Marquez,-116,-102
"March 2, 2025",Esteban Ribovics,Nasrat Haqparast,-260,+215
"March 2, 2025",Hyder Amil,William Gomis,+176,-210
"March 2, 2025",Danny Barlow,Sam Patterson,-245,+200
"February 9, 2025",Dricus Du Plessis,Sean Strickland,-220,+184
"February 9, 2025",Tatiana Suarez,Zhang Weili,-146,+124
"February 9, 2025",Justin Tafa,Tallison Teixeira,+132,-156
"February 9, 2025",Francisco Prado,Jake Matthews,+200,-245
"February 9, 2025",Jim Crute,Rodolfo Bellato,+124,-146
"February 9, 2025",Gabriel Santos,Jack Jenkins,-225,+188
"February 9, 2025",Tom Nolan,Viacheslav Borshchev,-102,-116
"February 9, 2025",Bruna Brasil,Cong Wang,+275,-350
"February 9, 2025",Aleksandre Topuria,Colby Thicknesse,-330,+265
"February 9, 2025",Kody Steele,Rongzhu,-350,+280
"February 9, 2025",Jonathan Micallef,Kevin Jousset,+180,-215
"October 4, 2025",Alex Pereira,Magomed Ankalaev,+205,-250
"October 4, 2025",Cory Sandhagen,Merab Dvalishvili,+330,-420
"October 4, 2025",Jiri Prochazka,Khalil Rountree Jr.,-194,+162
"October 4, 2025",Josh Emmett,Youssef Zalal,+360,-460
"October 4, 2025",Abus Magomedov,Joe Pfyer,+172,-205
"October 4, 2025",Ateba Gautier,Ozzy Diaz,-1000,+650
"October 4, 2025",Ateba Gautier,Treston Vines,-1800,+980
"October 4, 2025",Daniel Santos,Joosang Yoo,-134,+114
"October 4, 2025",Jakub Wiklacz,Patchy Mix,+280,-350
"October 4, 2025",Andre Muniz,Edmen Shahbazyan,+260,-320
"March 16, 2025",Marvin Vettori,Roman Dolidze,-154,+130
"March 16, 2025",Chidi Njokuani,Elizeu Zaleski Dos Santos,+164,-196
